,Name,Review Rate,Review Time,Review Text
34,Pasta Factory, 5 stars ,4 years ago,"I love the food, the lasagna is perfect and the bread that come together is awesome. You'll should taste it."
35,Pasta Factory, 1 star ,4 months ago,"Lowest of a lowest quality nowadays.
Was a customer of them for the last 2 years.
But now.. So sad. Nothing to do with “Italian food” anymore"
36,Pasta Factory, 5 stars ,6 months ago,If you go in Amsterdam you must go into that restaurant. The pastas are awesome the price are cheap and the waitress is extremely friendly.
37,Pasta Factory, 5 stars ,5 months ago,Great pasta! All recommendations for hospitality and food! Italian style!
38,Pasta Factory, 5 stars ,4 years ago,The service and food was excellent! I had the sweet potato 🍠 ravioli and it was great!
39,Pasta Factory, 5 stars ,2 years ago,"very tasty and good staff, 37€ for 2 pasta and beer"
40,Pasta Factory, 2 stars ,5 months ago,Pizza tastes like frozen. I think it actually was bought at supermarket.
41,Pasta Factory, 5 stars ,2 years ago,"Perfect and saucy pasta and nice service! The place looks very simple, feels like made for tourists only with plastic models of food served in the windows, but surprisingly the food and prices worth trying. I will strongly recommend to try salmon tagliatelle! Probably a bigger range of wine and beers would be nice!"
42,Pasta Factory, 5 stars ,a year ago,"This place is truly a gem! The food was s delicious and freshly made. Upon request, it can be made gluten-free, lactose-free, or even fully vegan. The atmosphere is charming and the owner/staff is super sweet! I highly recommend stopping by."
43,Pasta Factory, 5 stars ,2 years ago,"One of the best pasta places in Amsterdam, I go to this place often and all I have to say is that the food is delicious! Every time I go there the food is always amazing and the portions are great! …"
44,Pasta Factory, 3 stars ,2 years ago,"Definitely not a good service and the pasta dishes were just decent for being called ""The Pasta Factory"". Normal prices seen the location. Not coming back."
45,Pasta Factory, 5 stars ,5 years ago,"very good food.
very fresh and good service.
excellent"
46,Pasta Factory, 5 stars ,2 years ago,"It wouldn't have anything to do with Italian being my favorite food, this place is LIT🔥🔥"
47,Pasta Factory, 4 stars ,3 years ago,Very good food and the inside looks so chilli 😊
48,Pasta Factory, 4 stars ,4 years ago,"Great experience, nice food and place, just few minutes walking from the flower market.
Truly recommend the ""Tortellaci neri"""
49,Pasta Factory, 4 stars ,2 years ago,"Great little place. The shrimp pasta with garlic and olive oil was super tasty. Service is great, though I was told I can't get tap water because the boss is around, so be prepared to pay 3 Euro for a tiny bottle of water."
50,Pasta Factory, 4 stars ,4 years ago,Not very similar to traditional Italian places and more like a fast food place. The pasta was still quite tasty.
51,Pasta Factory, 1 star ,2 years ago,To be honest they don't even deserve the one star! It was the worst service and food I ever had in Amsterdam (and not only). I paid €15.50 for a portion of pasta with cheese. In the menu they mentioned the pasta is homemade even though it …
52,Pasta Factory, 4 stars ,3 years ago,"Beautiful food and comfortable atmosphere. The portions are huge, two people could probably share one main. The staff are friendly and attentive but not over the top. It’s a wonderful place to tuck into some lovely food, catch up with friends and drink. If you’re ever passing I’d recommend popping in for a bite."
53,Pasta Factory, 5 stars ,9 months ago,"Nice and friendly people, and very delicous food. Selfmade bread and noodles. When you want to eat some italian food, this is your place!"
54,Pasta Factory, 5 stars ,2 years ago,This place is really nice! The pasta and the focaccia dishes are so fresh and really delicious! I mostly go there if I have a craving for Italian and also its next to a movie theater! Try this place guys! Because its worth it. …
55,Pasta Factory, 3 stars ,2 years ago,"Visited, because there was a sign out the front that said “WE HAVE VEGAN PIZZA AND PASTA”.
As other reviewers have noted, the waiter was very pushy. We asked what vegan …"
56,Pasta Factory, 5 stars ,3 years ago,"Loved it, the food was great and the service too 👍🏻 and it's very cozy."
57,Pasta Factory, 5 stars ,3 years ago,We had such a great dinner here. The atmosphere was cozy and inviting. Our waiter was extremely friendly and nice. The food was absolutely delicious. The salad was very fresh and the cheese on the pasta and flatbread was so yummy.
58,Pasta Factory, 1 star ,3 years ago,"Rude Staff, decent food for tourists not meant tor any Italian food"
59,Pasta Factory, 2 stars ,2 years ago,Went here with friends. The food is way overpriced and some of the combinations of the food just don't work. We all didn't really enjoy what we got and it was definatly not worth the price we paid. The pasta dishes are very bland and has …
60,Pasta Factory, 5 stars ,3 years ago,"They can make any pasta gluten-free (gluten-vrij), which is awesome! Fantastic, fresh, delicious selection of dishes, from lasagna to pasta, you won't really go wrong with this Italian cuisine. Definitely recommend if you're looking for gluten-free friendly dining (even if you're not, definitely check it out!)"
61,Pasta Factory, 1 star ,3 years ago,"Ok, my girlfriend insisted to go there since it's a great place for pasta.
Walking in the place isn't that bad for a commercial city restaurant.
Menu is simple and solid. …"
62,Pasta Factory, 4 stars ,4 years ago,"It's a great little place for some good self-made pasta. It's always busy and the food tastes good. It's not the best pasta place out there but definitely one of the better ones out there. It can take a long time before somebody helps you, mostly because it's so busy. You can sit down to eat."
63,Pasta Factory, 1 star ,2 years ago,"Might be my worst experience in Amsterdam. We have ordered starters and main courses, but we got everything at the same time. When we complained we were told it is our fault for not explicitly telling to get the starters first (the first …"
64,Pasta Factory, 1 star ,2 years ago,"food was ok under. we ordered two dishes and I almost didn't touch mine, the combination of the spices and sauce was not good and dish wasnt at all tasty. when the waiter came for the bill he asked if I wanted to take away, I told him no …"
65,Pasta Factory, 5 stars ,5 months ago,Delicious food and very kind people.
66,Pasta Factory, 5 stars ,2 years ago,A place with delicious food and normal prices.
67,Pasta Factory, 1 star ,3 years ago,No taste at all... I guess that's why the salt shaker at the table was almost empty. Good fast service though!
68,Pasta Factory, 5 stars ,2 years ago,"BEST PASTA EVER hands down 😍😍
Prices are lowkey higher than other restaurants, but totally worth it, also it makes sense, because they provide gluten free pasta.
Nice staff, nice and comfortable atmosphere."
69,Pasta Factory, 4 stars ,2 years ago,"For what it offers it's an excellent choice. Fast, affordable, and tasty. Not very healthy tho taking into account all the butter and cream. But if you don't care about clean eating it's perfect."
70,Pasta Factory, 5 stars ,4 years ago,What a great find this was. We were out walking and it was cold (the canals were frozen) and wanted something hot and tasty. We called in as we had read good reviews about their home made pasta. …
71,Pasta Factory, 3 stars ,4 years ago,Me and my partner came on a weekday evening around 7pm so we skipped the tea time rush. …
72,Pasta Factory, 5 stars ,3 years ago,It can get very busy but the homemade pasta is delicious. A bit expensive
73,Pasta Factory, 3 stars ,4 years ago,"The place is alright. Besides the price, I didn't like my dish&found hair in it, got blamed that it is my hair although it wasn't. After a few minutes they agreed to replace my dish and it was alright(ordered pasta before, replaced it to …"
74,Pasta Factory, 2 stars ,2 years ago,"The food was okay but way too expensive, had to use a lot of the condiments and old cheese to make it taste like something...
The lady was very nice (sorry lady) but the bald cook/waiter was very rude en we were told it was our fault that their PIN machine broke down."
75,Pasta Factory, 1 star ,2 years ago,"The worst customer service I have ever come across in my entire life and of all the places that I have visited. The waiter had a problem explaining the items in the menu. The menu was in Dutch and on enquiring I was told ""You don't know …"
76,Pasta Factory, 5 stars ,3 years ago,"great place. nothing too fancy but incredible food with a great atmosphere! if you want hearty food that tastes great, doesbt break the bank and a friendly environment then seriously head here. away from the hustle and bustle but quality food... we will be back."
77,Pasta Factory, 1 star ,2 years ago,"The Service ist absolutly unconfident i wait 20min for my drinks and the Prices are too high. For an Pizza 16,50 ? Is this a golden Pizza ?. And they gave me plastic Cutlery it was a verg big disaster. The Food was ver very bad. The Spaghetti Cabonara were looking like a souup. 0 Stars my friends."
78,Pasta Factory, 4 stars ,3 years ago,"After walking for 2 hours Pasta Factory was a really nice surprise for street with a lot of fast food, this is paradise."
79,Pasta Factory, 2 stars ,2 years ago,"Very good food, but this cat made me worry a lot about the hygiene..."
80,Pasta Factory, 1 star ,2 years ago,"Absolutely terrible. Shame I had to give a star.
Waiter was rude and arrogant. Not enough cutlery and when asked took a very long time to come while food was getting cold. 2 meals were wrong and all food …"
81,Pasta Factory, 3 stars ,3 years ago,"A factory indeed: pastas as well as other dishes such as salads, focaccia and bruschetti come with great speed to your table, served by friendly and helpful waiters. Yet, friendly does not always mean good. …"
82,Pasta Factory, 4 stars ,4 years ago,"Nice place for authentic Italian food.
Nice taste and ambiance.
Prices are bit on the higher side. …"
83,Pasta Factory, 2 stars ,3 years ago,"Pasta is very plain and not really tasty. I had to add a lot of salt, pepper and cheese. Chicken is dry and hard. The only plus is a big portion but if the food isn’t good it doesn’t matter. I didn’t finish even the half of it. …"
84,Pasta Factory, 5 stars ,5 years ago,Great price quality food. If you are looking to get some decent Italian without the sharp Amsterdam prices this is a perfect place. Which is surprising by the good location but I am not complaining. You will come out satisfied
85,Pasta Factory, 5 stars ,3 years ago,Great portions and amazing taste 😍
86,Pasta Factory, 3 stars ,5 years ago,"For me the word ""Factory"" means that it's a fast restaurant. But it's not. You sit down and waiters are coming. I got here early, so I got my food fast, but there were big groups arriving after me, I guess they had to wait more for the …"
87,Pasta Factory, 5 stars ,4 years ago,What a little gem of a place. Great find. Lovely food and great service. 20 Euro a head for drink main meal and pud. Our 10 year loved it too. Watched them making fresh pasta. Yummy.
88,Pasta Factory, 5 stars ,4 years ago,Very good tourist friendly restaurant. We came here after an advice from a local! Great service and food! Would definitely go again for some more pasta!
89,Pasta Factory, 5 stars ,2 years ago,"We waited 35 minutes for pizza. When it finally arrived they made two mistakes with the order. They didn’t even apologized... By the way, the “home made pasta” is from Barilla."
90,Pasta Factory, 5 stars ,a year ago,"Very good place, it is all homemade"
91,Pasta Factory, 5 stars ,4 years ago,A place right in the center of Amsterdam that may not look that special from the outside but it's THE place to be if you want to eat something around Rembrandtplein or De Munt that is cosy and has good service. And the food is AMAZING. The …
92,Pasta Factory, 2 stars ,2 years ago,"Service very very slow. Staff were friendly, just slow. Over 20 minutes waiting to get the bill after they cleared away our plates, and only because we asked. …"
93,Pasta Factory, 5 stars ,5 years ago,Amazing place! Waiter was super accommodating and made a half four cheese half salami pizza for me. The appetizers were delicious and the atmosphere is very cozy.
94,Pasta Factory, 4 stars ,2 years ago,"Good service, reasonable price and very good food especially when they have gluten free pasta. Place is not so ship shape but I  Highly recommend it."
95,Pasta Factory, 5 stars ,2 years ago,"Great freshly made pasta. Food is always piping hot, staff are lovely and the food is delicious! A great place to eat in Amsterdam"
96,Pasta Factory, 1 star ,4 months ago,Staff very disrespectful ! Do not go here RUN AWAY !!
97,Pasta Factory, 5 stars ,4 years ago,"Always great service and surprisingly yummy, fresh, Italian food at a quick pace.  Never disappoints!  Near popular area of Flowermarket, Rembrandt Square, and Rokin. Focaccia is delicious! A/C too!"
98,Pasta Factory, 5 stars ,4 months ago,Very delicious pizza 🤩
99,Pasta Factory, 3 stars ,4 years ago,"The Pasta Factory had a fair choice of antipasti, focaccia, pasta and more. Overheard, it even had menus in many different languages for the tourists! …"
100,Pasta Factory, 1 star ,2 years ago,"IT was so bad service. When you walked in, nobody greets you. You need to find a table by yourself and after ordered 30 mins. They did not even bring your drinks. At last we just left after 30mins waiting for nothing. Never come back and not recommend it. Very angry and disappointed."
101,Pasta Factory, 5 stars ,2 years ago,"The food was fantastic, tasty, well prepared and very kind staff. Fresh self made pasta."
102,Pasta Factory, 2 stars ,3 years ago,"Worst pasta my friends and I ever had. It was bland, dry like the Sahara desert and with enough uncooked garlic to kill a vampire. …"
103,Pasta Factory, 1 star ,2 years ago,"Slow service.
The taste of food is not like it used to be in the past.
We had pastas and foccacia before and now the taste has change...
I recommend to visit another place"
104,Pasta Factory, 5 stars ,2 years ago,"This was one of the best Italian meals I’ve ever had in my life, would highly recommend this place. We had pizza and pasta and it was amazing"
105,Pasta Factory, 3 stars ,5 years ago,"It's a nice place to step in when you're close by. Pasta was really nice, fresh and well seasoned. However I would expect bigger portions for the price they charge."
106,Pasta Factory, 5 stars ,3 years ago,I had the Spaghetti with meatballs for €13.50. Excellent Food and Service. Pasta on a suprisingly high Level. Strongly recommended.
107,Pasta Factory, 5 stars ,a year ago,"This was one of the most delicious Pasta I've ever ate! I can recommend the ""Tagliatelle Carbonara"" and the Coffe."
108,Pasta Factory, 4 stars ,4 years ago,"Good food, homemade pasta; but when I asked if the chef could do something off menu (aglio e olio) he said he didn't know what it was.
Weird for an Italian chef to not know that."
109,Pasta Factory, 5 stars ,5 years ago,"Amazing placse to eat Pasta in Amsterdam that i saw so far. Lots if options in different pastes.
Worth any money that i payed there for the food ,very taste and the workers are nice there ."
110,Pasta Factory, 5 stars ,3 years ago,"There are less varieties.. but I got the cheese flavour, I was looking for..  people at service,  are so good and very pleasing.. would recommend to try different cheese 🧀 flavours"
111,Pasta Factory, 5 stars ,2 years ago,"English menu, English speakers. Looks from the outside not that impressive or a factory but inside it’s cozy and welcoming. Great pasta and great service. Worth a visit for pasta lovers"
112,Pasta Factory, 4 stars ,2 years ago,Gluten free penne pasta available. My pizza was very tasty. Great waitress.
113,Pasta Factory, 1 star ,2 years ago,"I paid 13€ for noodles bathing in fat, I'd rather pay 1€ for a hamburger at McDonalds next door and I don't even like McDonalds, that's how bad Pasta Factory was"
114,Pasta Factory, 2 stars ,3 years ago,"Food was good. Carbonara was a bit salty, but our waiter made a mistake and never brought a starter and did not even apologize"
115,Pasta Factory, 5 stars ,3 years ago,Very tasty and affordable!
116,Pasta Factory, 5 stars ,3 years ago,"When the restaurant is compared to its price, I can say that it deserves 5 star. Staff is polite, meal (we ordered arabiata pasta) is delicious."
117,Pasta Factory, 5 stars ,4 years ago,"Amazing food! Great range of pasta and pizzas, including gluten free pasta options. Staff very friendly and helpful."
118,Pasta Factory, 5 stars ,2 years ago,"This is the best place for pasta , i love the staff and the owner. Amszing every single time. Highly recommended"
119,Pasta Factory, 4 stars ,4 years ago,"The food was very good, the dishes were as big as necessary, the price was okay. Had a great time.
Would recommend"
120,Pasta Factory, 3 stars ,5 years ago,"Nice place. But very very less vegetarian options! Had tomato soup which was good, would have loved to have more if more vegetarian options were available!"
121,Pasta Factory, 3 stars ,3 years ago,"The food was good, the service was fine, except for one waiter who told us that they don’t have tab water, which wasn’t true because I saw people next to us ordered tab water."
122,Pasta Factory, 4 stars ,2 years ago,"Goed pasta, tiramisu end coffee 😊
Fast service and pasta is coming hot on the table.
Too bad that they don't have a terrace."
123,Pasta Factory, 4 stars ,2 years ago,"Great fresh food, Good service, you might have to wait bcoz of long queue usually.. will visit again on my next visit to Amsterdam."
124,Pasta Factory, 2 stars ,2 years ago,"Used to be better place :( staff is changing non stop, portions become smaller and today they refused to give glass of tap water, though it’s Illegal in Amsterdam. -1 client"
125,Pasta Factory, 5 stars ,4 years ago,"Very nice staff, awesome pasta and OVERALL the goat cheese over a bread with onions and tomatoes, oh my god.. just loved it!"
126,Pasta Factory, 4 stars ,2 years ago,love this place for a quick bite especially in the Rembrandt plein area which is very touristy...price is reasonable and pasta is always homemade!
127,Pasta Factory, 5 stars ,3 years ago,This cozy little place serves delicious fresh pastas (serving portions are huge) at very affordable costs! Loved it!
128,Pasta Factory, 3 stars ,2 years ago,Nice pasts...nothing special...
129,Pasta Factory, 4 stars ,5 years ago,"Food was ok, but I wouldn't call it the best pasta I've tried. Prices are reasonable, service is also fine."
130,Pasta Factory, 5 stars ,4 years ago,"Great food and great prices! 3 drinks, pizza and pasta for 30 euro. Staff were fantastic too!"
131,Pasta Factory, 4 stars ,2 years ago,"Good food, gluten free pasta, but the bathroom is very small and was pretty dirty."
132,Pasta Factory, 5 stars ,4 years ago,Great italian food. Fresh pasta is made here. Friendly staff. Kosher meals are available.
133,Pasta Factory, 4 stars ,3 years ago,"Nice, generous portions of home-made pasta in a very touristic area in Amsterdam. And not that expensive."
134,Pasta Factory, 4 stars ,3 years ago,Nice but pricy
135,Pasta Factory, 5 stars ,2 years ago,"The food is very tasty and filling. Good selection for vegetarians, also gluten-free options."
136,Pasta Factory, 5 stars ,2 years ago,"One of the nicest pasta places in Amsterdam. Great pasta, great cooking, amazing service. Thank you."
137,Pasta Factory, 5 stars ,3 years ago,"Great restaurant! Great service! Fresh, homemade delicious pasta! Highly recommended!"
138,Pasta Factory, 5 stars ,2 years ago,"Good food but dang , euro 3 for water 12 oz water is highway robbery. Ensure to ask for tap water."
139,Pasta Factory, 5 stars ,2 years ago,The iconic corner full of life and  activities.
140,Pasta Factory, 5 stars ,4 years ago,The pasta and sauce was very good here. I ordered the penne with arribiata sauce and a Margarita pizza which were all great
141,Pasta Factory, 4 stars ,4 years ago,"Delicious food, kind staff. Must try for pasta fans. good vegetarian options also."
142,Pasta Factory, 3 stars ,2 years ago,"The pasta is fresh and cooked nicely, topped with sauces made from good ingredients."
143,Pasta Factory, 5 stars ,2 years ago,"Great food great price!! Just across from the flower market, very friendly staff, must try their breakfast!!"
144,Pasta Factory, 5 stars ,3 years ago,"Giant portions, rich and tasty spinach salad, smiley service and reasonable prices. Highly recommended."
145,Pasta Factory, 5 stars ,4 years ago,I've been there 2 times and was such a wonderful experience! Good price and delicious food!
146,Pasta Factory, 5 stars ,2 years ago,"Very good, home made pasta and
generous dish. Highly reccomend."
147,Pasta Factory, 5 stars ,3 years ago,"Great pastas, real italian! And very generous portions as well. Family loved it."
148,Pasta Factory, 5 stars ,2 years ago,One of best Italian restaurants in Amsterdam! Great spaghetti for reasonable prices
149,Pasta Factory, 5 stars ,2 years ago,"Great place, quite pricey but very tasty and has a charging bank"
150,Pasta Factory, 5 stars ,2 years ago,"The chicken fungi was incredible. Also had the pesto, was great. Thank you!"
151,Pasta Factory, 4 stars ,2 years ago,"Nice restaurant, food was good, but the prices were a bit higher"
152,Pasta Factory, 5 stars ,2 years ago,It's very huge nd pleasant restaurant ever I seen....everything clean nd neet....food was awesome....
153,Pasta Factory, 5 stars ,5 years ago,Good cozy Italian place. Pasta is al dente. Nice staff. Mint tea in a big cup.
154,Pasta Factory, 5 stars ,a year ago,"Great place, delicious pasta and pizza, best in Amsterdam!"
155,Pasta Factory, 3 stars ,3 years ago,Good food and good location.
156,Pasta Factory, 1 star ,3 years ago,"Terrible. Got the wrong food. Also they miss ordered our main dish, so it came 15 minutes inbetween"
157,Pasta Factory, 5 stars ,4 years ago,Amazzzing place and very reasonable price ...Also the pasta is made in house ...The staff there is really welcoming and warm👌👌👌
158,Pasta Factory, 5 stars ,5 years ago,"Wow, what a great restaurant! The food is very good and tasty. The service is very fast."
159,Pasta Factory, 5 stars ,4 years ago,Just had the most amazing omlettes  Fresh bread and orange juice. Great price  Lovely staff too 👍
160,Pasta Factory, 1 star ,4 years ago,"The staff is rude but the food is good
It's very expensive and the portion is not so big"
161,Pasta Factory, 5 stars ,6 years ago,"The food was delicious, and i know my food, great flavours, and a great waiter to boot.  Would highly recommend."
162,Pasta Factory, 5 stars ,a year ago,"Good food,friendly host ,nice place,good price,"
163,Pasta Factory, 5 stars ,2 years ago,"I have never eaten this good pasta in my whole life really😍 I ate the salmon Tagliatelle, try it out!"
164,Pasta Factory, 5 stars ,6 years ago,Really satisfied with this place. Fresh food good prizes thats it good for the customer.  Good focatzias and pasta. we will repeat if we return to amsterdam.
165,Pasta Factory, 4 stars ,2 years ago,"Amazing and cozy place, delicious dishes with very short preparation times."
166,Pasta Factory, 3 stars ,4 years ago,"Food was good, prices a bit high for pasta, a bit loose on the service."
167,Pasta Factory, 2 stars ,2 years ago,Taste like something you bought from the gas station…it made me wondering what's wrong with the Google map grading。
168,Pasta Factory, 5 stars ,3 years ago,Outstanding Pasta and Service ! Don’t miss your New Favorite Italian Pasta Restaurant!
169,Pasta Factory, 4 stars ,2 years ago,Only tried their pizza and its good. Not sure about their other dishes.
170,Pasta Factory, 2 stars ,6 years ago,It is not what I expected. Food wasn't that good. I'm verry dissapointed. The other reviews under here are just stupid! The food S-U-C-K-ED!!! Just being honest:(
171,Pasta Factory, 5 stars ,3 years ago,"Food was lovely, serive top notch and good prices. Couldn't rate hughly enough"
172,Pasta Factory, 5 stars ,3 years ago,Amazing Italian food in center of Amsterdam :-) very friendly services :-) we will definitely visit again
173,Pasta Factory, 3 stars ,2 years ago,good service. pasta is ok. 3 out of 5 stars
174,Pasta Factory, 4 stars ,3 years ago,Great service and good pasta and pizza. Highly recommended.
175,Pasta Factory, 5 stars ,4 years ago,Not a tourist trap. Surprised and delighted by true Italian hand made Al dental pasta
176,Pasta Factory, 5 stars ,2 years ago,Awesome dinner tonight. Food was excellent and company too❤
177,Pasta Factory, 4 stars ,8 months ago,"Nice pasta, friendly service"
178,Pasta Factory, 5 stars ,4 years ago,The pizza was amazing! I would recommend it to people who love good quality pizza!
179,Pasta Factory, 5 stars ,3 years ago,Great fresh food one of my favourite places to eat in Amsterdam nice decor and excellent staff and menu
180,Pasta Factory, 5 stars ,5 years ago,nice place with tasty food
181,Pasta Factory, 3 stars ,7 months ago,Correct food and Good place
182,Pasta Factory, 3 stars ,4 years ago,"Good but quiet expansive for pasta, and there is not enough on the plate"
183,Pasta Factory, 5 stars ,3 years ago,Ordered the Tortellaci neri. One of the nicest pasta dishes I've ever had.
184,Pasta Factory, 5 stars ,2 years ago,"Very good pasta.
They have kosher food for Jews.."
185,Pasta Factory, 5 stars ,4 years ago,"Great food, nice stuff and comfortable prices. Highly recommended!!!"
186,Pasta Factory, 5 stars ,5 years ago,Awesome service and delicious pasta for even the budget conscious.
187,Pasta Factory, 5 stars ,2 years ago,"Awesome pasta, fresh ingredients, cooked Al dente! Will go back"
188,Pasta Factory, 4 stars ,2 years ago,Good food and service. Located near the Flower market in Amsterdam.
189,Pasta Factory, 5 stars ,6 years ago,"Great food , nice stuff and comfortable prices.
Highly recommend."
190,Pasta Factory, 1 star ,2 years ago,Took 50 minutes just to serve starters and noone knows where the food is !! So frustrating.. They are just clueless.
191,Pasta Factory, 5 stars ,3 years ago,"The food was great, the prices were great,  this place is a ""must""."
192,Pasta Factory, 3 stars ,5 years ago,Okay place. Quite busy and good prices. Workers came over as a bit cranky
193,Pasta Factory, 1 star ,2 years ago,"Very amateur place, low quality food. Do not recommend."
194,Pasta Factory, 1 star ,2 years ago,Over pricy and cheap on ingredients. Also don’t serve tap water.
195,Pasta Factory, 5 stars ,4 years ago,"Very tasty pasta, service was great and fast"
196,Pasta Factory, 4 stars ,2 years ago,Nice pasta and overall good service from the staff.
197,Pasta Factory, 5 stars ,3 years ago,It was a very delicious food and fresh.. of course I will come again.
198,Pasta Factory, 4 stars ,2 years ago,Good Pasta place! Cheap and nice people!
199,Pasta Factory, 4 stars ,2 years ago,Really good pasta with gluten free options!
200,Pasta Factory, 4 stars ,4 years ago,Very good food best meal it's pasta wit beacon
201,Pasta Factory, 5 stars ,3 years ago,Really great food with good prices and good service!
