Venue,Sentiment,Text
50 george square edinburgh,negative,"Not much parking nearby. We parked elsewhere and got the tram. It's an uphill walk to the venue from the tram stop though. There is parking next to the building which is reserved for the university staff, it is unclear if blue badge holders can park there. Blue badge holders can park at part of George square. Several bus stops are nearby. It’s not immediately obvious where the toilet is. More, clearer signs would be good. Clean facilities. Incredibly difficult to park nearby if you need close proximity parking."
50 george square edinburgh,positive,we didn't use or see the toilets to review these. We were visiting the Project Room and the accessible loo is across the corridor. Well signed. Clean and good sized.   Is located beside the other toilets. A good sized modern accessible toilet was available.
56 north edinburgh,negative,"unless it has changed drastically since I was there, the toilets are down a flight of stairs and had no accessible toilets at ground level so it is on my boycott list."
56 north edinburgh,positive,I have always been dropped off to this venue by taxi and am not sure how easy it would be to park. There is off street parking. Flagging a taxi in this area is fairly easy depending on the time of day.
78 derngate northampton,positive,Space for carer.  Large and clean.
8to8 dental buckie,negative,There was a loo but it was difficult to maneuverer in. 
911 memorial museum new york,positive,The memorial is easy to access and the museum is right next door. We were staying nearby so it was only a short distance but there are subway stations nearby that are wheelchair accessible. Several accessible toilets located throughout. Clean & spacious.
a little bit of heaven lostwithiel,positive,We use a wheelchair adapted vehicle. Parking was provided in front of the accommodation with amble space to work around the vehicle and additional space for guest vehicles. The toilet and shower room are combined. The toilet has a hoist over and bars on either side. The toilet is higher than average which made the personal toilet riser we had taken unnecessary.
a therapy for you in leith edinburgh,positive,"A disabled parking bay is located in the car park. An accessible toilet with grab rails, room to turn, and bright and light decor is off the main corridor."
abax stadium peterborough,negative,The concourse in the away end was a very small area so my advice would be not to go at half time when many people queue up for drinks and snacks. You could clearly see the entrance to the disabled toilet and it was a decent size with all the necessary things to assist and it was well maintained also. No problems with the toilet in the oldest stand so a straightforward process really. Just don’t go at half time.
abberton reservoir visitor centre layer de la haye,positive,"3 disabled bays could be a little closer to the centre. 1 disabled toilet/baby change. Very clean, handrail, automatic light, no mirror. 3 disabled bays clearly marked a short walk from the centre. You could also park at the end of the car park nearest to the causeway. There are plenty of spaces and the parking is free. in the centre. Automatic lights, loads of room, very clean. There are clearly marked disabled bays in the car park next to the visitors centre, which is a good starting point for the outing. If it is after 5, when the centre closes, you can easily park on the causeway next to the centre. There is an accessible loo in the centre, easy to negotiate with plenty of room for a carer."
abbey gardens bury saint edmunds,positive,"Nearest parking is available in the Angel Hill car park (free with Blue badge), Ram Meadow (pay but with additional time given) and behind the Premier Inn. There is also some nearby disabled bays (near the police station).    There is a train station in Bury St Edmunds. It is the other side of town, so probably a 30 minute walk. There is a bus station in town approx 15 minute walk. There are public toilets in the gardens - a discrete toilet block at the top of the gardens. Often has an attendant. I think the disabled toilet is RADAR locked.   The abbey also had a reasonable  disabled toilet.   "
abbotsford melrose,negative,"We walked from the train station in Tweedbank, which is a long walk, and it wasn't easy to find. Abbotsford is made for drivers; although, we did't see many parking spaces as there were a few coaches that took plenty of space.  Loos were find, there was a disabled loo."
abbotsford melrose,positive,"Car park the loo was easy to find, lots of space for a mobility scooter and carer, there were grab rails and it was clean. Personally for me its a 20 minute walk from Tweedbank, the last stop on the new Boarders Railway line (roughly a 1h 20m ride from Waverly). Who doesn't love a railway journey and it has opened up the boarders to those without a car. The buses in the area are great, going to Abbotsford House and Melrose town (about a 10 minute bus ride).  See photographs There are disabled parking spaces at the end of the car park nearest to the Visitor Centre and the house. We travelled by train on the new Borders Railway to Tweedbank Station, from where there is a pleasant wheel/walk to Abbotsford, past Gunknowe Loch. Allow 25 minutes for this. If using a wheelchair, book journey assistance with Scotrail in advance - they are very helpful. There are no station staff at Tweebank, but the conductor on the train will deploy a ramp for you. There are well-equipped accessible toilets in the Visitor Centre, both on the ground floor and at restaurant level. Disables Parking available very close to the entrance  Available in visitors centre Getting to Abbotsford was easier than we expected. We arrived by car but it was great to see that Abbotsford have a courtesy minibus service that runs from Tweedbank railway station to the house and back. It is also possible to walk from Tweedbank if the weather is fine and you don't mind a country stroll.   We swept in the gate and the car parking area is set out in clearly marked areas with hedges and good surfaced road. The accessible parking bays were the first we encountered and we parked in a bay closest to the gently sloping path that takes you down to the visitor centre. It was about 100m and fairly easy to get along - bit of a push going back up but with a hand from my accompanist we managed easily. The accessible toilet I used was in the visitor centre on the ground floor. It was clearly signposted, had a wide easy to slide door, plenty of space and was spotlessly clean. Just as things should be!"
abbotsinch pub dining grangemouth,positive,There are three disabled places opposite the entrance.  They are not angled to the wall and you might have a problem with a WAV with a ramp. Well signposted.  You can get a wheelchair inside without any problem.  Fully fitted with grabrails.
aberdeen douglas hotel aberdeen,positive,"handy for city centre, car parking for guests available locally."
aberdeen maritime museum aberdeen,negative,"The availability for parking is not the best. There aren't parking spaces around the building. Disabled parking spaces are available outside The Robert Gordon University, which is located next to Aberdeen Art Gallery. "
aberdeen maritime museum aberdeen,positive,"Easy to find, clean and tidy. There are accessible loos on the ground (cafe) and second levels. Doors quite heavy. Side transfer just possible from one side in both cases. Both well equipped with grab rails and all facilities sensibly positioned. No sign of an alarm cord in either accessible loo. There are two accessible loos, one of them downstairs and the other one in the second floor of the museum, both of them are easy to access through the lift and easy to find due to the clear signs. The loos are big enough and very clean and tidy."
aberdeen railway station aberdeen,positive,"The station is fairly close to the City centre. There are plenty of buses around the station. You are also quite close to the harbour area if you're planning on venturing further afield on the ferries. Taxis drop of right inside the station adjacent to the main concourse. If you're heading toward Union Street it is an uphill route but you can utilise the route through the Trinity Centre from Guild Street. Just off the main thoroughfare of the concourse there are toilets. Immediately before the payment barrier is an accessible toilet. It has a RADAR lock, with a wide and easy to use door. Once inside there was plenty of space to manoeuvre my powerchair. It was clean and well kept."
aberdeen sports village aquatics centre aberdeen,positive,"The accessible parking is brilliant, as you enter the car park on the left and the right is two full rows of clearly marked spaces. The are right next to the front door.  There are many buses in Aberdeen that travel up and down King Street, there is a bus stop right  at the main gate which leads on to a smooth path that leads you right to the main door.  Overall the Aquatics Centre is very accessible. There are several accessible toilets: one in the cafe area is always clean, it has plenty grab rails to allow a safe transfer. It is however a little tight for space is there was more than a manual wheelchair and a carer: anyone that needs more space for assistance I would recommend the pool toilets past reception. In the pool toilets the are various alarm cords, fixed and mobile grab rails- also there is a commode an a hoist system attached to the ceilin. Should always get a parking space and entrance just beside. Busy cafe toilets, but toilets on all levels."
abergavenny market abergavenny,positive,There is adequate disabled parking spaces in the Council car parks which are withing easy distance of the market.  All routes to the market have dropped kerbs.
aberystwyth railway station aberystwyth,negative,"the train itself is not a friendly one, many time the call for assistance button is faulty and goes of by itself so is often unanswered, as well as the disabled loo doors often needing a swift kick to close. the disabled parking for the station is close to the ramp access. as with all train station toilets, its best to give them a miss. yr hen orsaf weather-spoons is right at the end of the platform and have a very nice disabled loo next to the bar. go there instead."
ability fest glasgow,positive,Two accessible toilets available of differing layouts and sizes.
abingdon street market blackpool,negative,The market is in a pedestrian area and as a result there is no parking near to this venue. The Blackpool tram system nearest stop would be Tower or North Pier this is a good 10mins walk away
absolute dogs dundee,positive,"There are a few parking spaces designated to Absolute Dogs right outside the shop. They aren’t sign posted as accessible parking however, they aren’t marked with any lines at all. Whenever I have visited there has always been plenty of room beside my car. One of the parking spaces is right outside the entrance to Absolute Dogs which could be difficult however, there has always been space between cars and the entrance when I’ve visited.  Due to being located in the city centre of Dundee there are bus stops coming from all over Dundee, I’m not sure what ones or where these are. "
academy plaza hotel dublin,negative,I came on wheelchair but left for the airport in a taxi which can park right outside. A short 5 min stroll will take you into the city centre straight onto O’Connell St which has bus stops and the Luas tram system. I only used my room toilet which was basic but fine for my needs - grab rail on right hand side and space to transfer. However I did see an accessible toilet near the breakfast area past reception. There was no key or swipe card needed to enter. 
academy plaza hotel dublin 1,negative,Lock in ground floor toilet was broken but reception said it will be fixed. There are also larger accessible toilets in each accessible room. These have numerous wall bars and are large enough for an assistant/carer and also to manouvre your scooter/wheelchair around.
academy plaza hotel dublin 1,positive,I got a bus (has accessible space for 1 scooter) from the airport. This stops nearby. 
acces plus train service courbevoie,negative,"Public parking is difficult in Paris, I would recommend using a cab, unless you know someone who knows the city well."
acces plus train service courbevoie,positive,"With a manual wheelchair, I can reach the toilet myself, and transfer on my own thanks to he handles. I always bring my own hand sanitizer."
access travel scotland cleland,positive,"It's a transport service, that's what I have already reviewed. William parked right outside the venue for our pick up and was able to drop us off in the centre of Largs."
accessible boating hook,positive,We parked our car for free of charge for the week in the marina car park which was locked every night.  Disabled Portaloo on board and also a normal toilet.
accessible boating odiham,negative,There is a small toilet in the main area. I knew I wouldn’t be able to use it as the only support rails are fixed (so you can’t side transfer). They are removable but then you have no support rails. I’d say an independent wheelchair user could get to the side of the toilet to transfer if rails were not needed and someone closed the door behind you. The toilet would also have been too high for lifting me on to ( and there is no space for a carer inside at the same time. We resolved is by bringing my shower/toilet seat commode. We put blankets up over a few windows and transferred in the main boat area before pushing me backwards into the toilet room. The door did then close. You could bring a number of sheets (about 8-10) to cover all windows and use a portable hoist over a commode in the main area. Luckily the way we went was fairly quiet to do this with a level of privacy. The toilet will suit some people more than others - but with private hire what we did was not so bad! We came prepared!
accessible boating odiham,positive,There was general parking a short walk from the boat and you can drop off right next to it to unload/load. 
accessible madrid madrid,positive,Accessible Madrid delivered my rented scooter to our hotel and gave useful advice on how to use buses and metro trains. 
according to mcgee york,positive,Just across the road is Clifford Tower car park with blue badge spaces. If there is no room in the car park there is almost always parking on the double yellows on Castlegate. A number of bus stops close by
ace london,negative,"Lots of buses serve the area, but the nearest tube station, Clapham Common, is crassly inaccessible, reachable only via steep flights of stairs. "
acharacle tea room acharacle,negative,"Again, space is limited - and you have to go through a door to reach the toilets. The ladies toilet doubles up as the accessible loo, and while it's not perfect it is a good facility. Watch out for the table with the toiletries place on it as you enter - it would be so much better if this wasn't here. There is also no emergency red cord either, so be aware of this."
achilleion corfu,positive,"I visited as part of a private taxi tour so I was dropped off at the entrance gates and collected from their too. I don't know about public transport but I think there is a hop on hop off sightseeing busy that stops here. I didn't use the accessible toilet while I was there, as it is mentioned on their website plus someone did a TA review in July 2017 confirming this."
acorn house veterinary surgery bedford,positive,disabled parking close to building entrance All fine and easy to use. Perhaps the loo itself could be a bit higher.
ada meze kitchen newport,negative,"I managed to get into the disabled toilet but it was a bit tricky. There was not a lot of room to turn round in front of the door to go in straight. And inside the toilet, the space was only just big enough for my powerchair.  It could have been better but it could also have been worse."
ada meze kitchen newport,positive,There is a pay-and-display car park Just across the road where blue badge holders can park for free. There is also a disabled toilet in this car park.
adam reid at the french manchester,positive,There is one spacious toilet that is unisex.  Plenty of turning room.  Lovely cloth hand wipe/towels
adam smith theatre kirkcaldy,negative,Some parking available to the rear of the building. Or some nearby on street parking.
adam smith theatre kirkcaldy,positive,"Toilets very accessible. Clean. Nearest bus stop is the home of kirkcaldy buses, just a few metres away from the theatre. (5 minute walk) space for carer, clean and tidy (lovely soaps) lots of room easy to find Adam Smith is about 400 yards from main bus station. There is limited parking and just two blue badge spaces so get there early or you will need to park in surrounding streets.  Wide door and good circulation space. Entry, exit and lock is via a light touch  button on the wall.  Side transfer should be from right to left but large nappy bin in the way. I asked for it to be moved. We will see what happens. Another reason why baby changing should NOT be in accessible toilets.  great transport links close to bus and train station small car park at the side of the theatre with disabled spaces easy to get in and out of lots of room  could do with a bigger sign"
adams diner clydebank,negative,On Dumbarton road so plenty buses will pass I assume.  We went by car there is only one disabled bay however as its at the end plenty room.
adams diner clydebank,positive,Not signposted but obvious where it is Large area that I think would fit a mobility scooter Toilet raised I'd say  Plenty rails.
adamton country house hotel prestwick,negative,No specific disabled parking spaces Accessible toilet available just off reception 
adelphi theatre london,negative,"It wasn't that easy to find somewhere nearby for a car to drop me off and set up my folding scooter, but that's not the theatre's fault - it's just how it is in central London. There are plenty of bus stops nearby, and London buses do all have ramps, so that's how I got home (very slow but otherwise fine)."
adelphi theatre london,positive,"Bus and taxi options. I came by scooter on the pavement.  The Adelphi is located just 15 minutes wheel from Waterloo station. Spacious and very clean. See photo. Spacious, clean and looked like it has recently been redecorated. The staff all knew about it and noticed that I needed a bit of a hand with the door."
adolfo suarez madrid barajas airport madrid,negative,Taxis good when you get to a terminal that has them - T4S no taxis. Not sure as didn't have to use but as no evening lift access may be a problem. 
advantage   edinburghs disability tennis programme edinburgh,positive,"There are 4-5 blue badge parking bays located close to the entrance with easy access to the building Ample disability parking available at venue. Clean and functional, available on court level and also cafe level."
advocating together dundee,positive,"I got the bus here There is only one oilet which is wheelchair accessible Usually okay depending on road works and parking spaces There was plenty room to manoeuvre if required. I got a lift by car, but will start bus shortly It's perfect. I got the bus and they came quite frequently and stop a couple of minuts away. Parking is not good. Easy to find, sign posted, on the ground floor and wheelchair accessible"
affinity sterling mills outlet shopping tillicoultry,positive,Huge carpark with many disabled parking spaces close to the shops. Bus stops close by to connect to Stirling and Alloa.  A large cubicle within the men's and womens. Red cord to the floor and all handles as expected. 
africa alive kessingland,positive,Plenty of parking - several disabled spaces.  As expected. 
agriturismo le ragnaie montalcino,negative,"I can only comment on Room #1. The bathroom is accessible on the flat. It is large and comfortable, but there were no rails or handles. There was a bidet next to the loo which might cause problems if you needed to transfer, but for someone walking with sticks it was accessible."
agriturismo le ragnaie montalcino,positive,"Large and very flat hotel car park. Shallow gravel, which caused the electric wheelchair no problems. You would have you drive up a slope which goes into the car park from the hotel to reach the rooms/reception/restaurant without using stairs. However, there is space for this."
ainslie park leisure centre edinburgh,negative,"Very good - large car park (with disabled spaces).  Good too for public transport although as the venue is not on the    main road, a walk would be incurred. Again, perfectly adequate but difficult to find."
ainslie park leisure centre edinburgh,positive,"There were wheelchair spaces available directly outside the centre. You are required to go to the front of the building to get level access though via a dropped kerb as there is a kerb in front of most of the spaces.  The downstairs accessible loo was spacious,  had an adult sized changing loo and also had 2 different heights for coat hangers. I like the coat hanger feature as it shows they have made a real effort to think through the real needs of wheelchair users or those of short stature. Limited amount of accessible spaces considering the size of the Car park. Spaces directly at the front door. There is a good bus service that passes 2 min walk from the entrance. Good sized accessible toilets. We can always get one of the accessible parking spots right out side the door. However on rainy days puddles do appear that you have to climb over in order the keep your feet dry. There is a loo in the disabled changing area which is very spacious and has grab bars in the right places"
airth castle hotel stirlingshire,negative,"I drove, there was 2 car parks but no disabled spaces to be seen. My partner injured herself on the steps leading up from the lower car park as the slab was loose. "
airth castle hotel stirlingshire,positive,I would think you would need a car to get there. There is a large carpark which has a couple of disabled spaces at the entrance to the spa. 
aiyana beauty salon shetland,positive,"There are two accessible parking bays immediately outside the door of the farm shop.  There is a small toilet in the salon, but there is also a fully accessible toilet available in the building for customers to use. The toilet had everything I needed as a manual wheelchair user."
ajs diner crossgar,negative,"There is only very limited on street parking.  No actual car park. Although it is situated on the corner of the main street in Crossgar, the bus service that passes is not very regular."
ajs diner crossgar,positive,"Plenty of space, & very clean"
akita senshu museum of art akita,positive,The gallery is a 15 minute walk from the main station. There are bus services to stops nearby but I did not use them. As pictured. Clean and well-maintained with a button operated sliding door and plenty of grab rails.
akita station akita,positive,"There are taxi companies in the city that can take wheelchairs, but you will need to call to have one pick you up from the station.  Tran accessibility in Japan is variable. Manual ramps can be used on newer trains and the bullet train, but older rolling stock on lines like the Gono line only has stepped access.   It is strongly recommended to book a wheelchair space if you are looking to travel by bullet train."
aksos suites accessible suites chania,positive,Flat parking area next to apartments
alba highland cottages boat of garten,positive,"Parking right outside the garden gate enough for three  cars The loo is in along with the wet floor shower room, every thing was there all the grab rails that one would need, plenty of turning room in the wet room, the sink was a right level and so was the mirror on the wall"
albatross cars derby,positive,They are a door to door taxi service. They have two different kinds of wheelchair accessible vans according to website.   If your wheelchair is tall you may need to remove headrest.  Leave plenty of time so that you can be strapped into the space. 
albemarle music centre hull,negative,The toilet had all the necessary hand rails and low level mirror. There was plenty of room for a carer and was clean and tidy.   However the red cord was tucked behind a pipe and had been cut short by approximately one metre.   So I untucked it to let it hang freely and attached a Euan's Guide Card. 
albemarle music centre hull,positive,Large public multi storey car park adjacent to the venue. 
albert dock liverpool,positive,"rating for parking as do not want to review ourselves. Coach parking drop of and collect points at Albert docks, very convenient for passengers and our coach has access lift, Large floor level toilet that expands for Wheelchair room also seats with extra leg room and wheelchair spaces to be firmly secured in place, on board games to encourage socialising in large print. Plenty of parking and disabled spaces but blue badge holders still need to pay. There are toilets within different facilities, and a changing places toilet within the Tate gallery."
albert hall manchester,positive,"The accessible toilet was also great and much better than I expected for a listed building. It was larger with a good amount of space to move around. It had the standard accessible features - grab rails, emergency cord and it was RADAR locked. There were also personal touches including toiletries like deodorant, hand cream and female sanitary products placed inside a box. I took half a star off because the toilet is located on the other side of the accessible area, which can't be helped because of how old the building etc. I could park very close to hall They use the radar key scheme "
alder hey childrens charity liverpool,positive,"Multi storey car park. Great provision in theory but there is a lot of demand for spaces. Good lifts but would recommend dropping off short distance walkers close to lift before parking if busy. £2 fee but there is also a cafe,  restaurateur, fruit and veg stall. You might be able to park in drop off for free if someone stays with car. Perfect for our needs."
aldi derby,positive,There are disabled bays outside the store they are wide but they don't have very clear markings.  Several buses run near the store and there are pedestrian crossings. 
aldi edinburgh,positive,Gorgie has good transport links and there is also a large parking area. It is also next to Gorgie McDonalds.
aldi greenock,positive,This Aldi is not far from Greenock town and quite easy to get to by car. There is plenty of disabled parking spaces available.
aldi wishaw,positive,The car park is quite tight to manoeuvre but there are about 10 blue badge bays outside. There are also more space down a small decline at the B&M Bargains and McDonalds area.
aldwych theatre london,positive,We travelled by train from Sevenoaks to Charing Cross.  I had booked disabled assistance but we were early both going to London and coming back.  We were met both ends by helpful station staff who were waiting with ramps.  There was plenty of space in the designated disabled seating area and the accessible loo was nearby.  
alexander thomson hotel glasgow,negative,There in no disabled parking available bus rail and taxi close at hand given Glasgow Central rail station.
alford community campus alford,positive,There is a bus that goes right to the door and lots of disabled parking close to the entrance. Several loos located around the campus. All well signposted. Disabled spaces available Emergency buttons. Wide. Plenty of space. Railing and bars
alhambra granada,negative,There were three toilets that I passed by and I only visited the one near Nasrid Palace. It was small. Enough room for my scooter but barely enough for a second person. It had a grab rail. It was clean and tidy. No help cord or button. See photos. You might need to find someone for the key. A bunch of keys were already in the door when I arrived. There was no area for changing of any kind.
alhambra granada,positive,"We took a taxi from the rank at Plaza Nueva in the centre of Granada. It cost €5,50. Avoid ride share apps because the taxis can cost closer to €20 as they can’t use the network of taxi and bus only roads. The driver helped get the scooter into the boot.  We’ve taken the bus number C32 on a previous visit. They are accessible with a ramp and they have a wheelchair area. It costs about €1,50 per trip. Both drop you off at the entrance to the Alhambra.   The Bus and taxi drop off zone is cobbled on a slope with some smooth pathways a few metres away.  There’s lots of parking with disabled bays, although it’s expensive and on a slope. There are smooth routes to the entrance."
alhambra theatre bradford,negative,"There are accessible toilet's avaliable at the venue, these are unisex and do not require a key to open. The door is locked on a locking handle and the taps are a lever type. The toilets have a emergency alarm. Lighting levels in the toilets are bright. The mirrors in the toilet are at a low level promoting easy use. "
alhambra theatre bradford,positive,"The venue does not have its own car park, but does have a blue badge holders car park next to the theatre for ease of access. "
alhambra theatre dunfermline,positive,"Didn't use parking although there are 2 car parks close by. Access at main entrance for taxis although not when performance finishes Large disabled toilet, easily enough room for a wheelchair and carer. Toilet just outside auditorium on ground floor."
alice holt forest bucks horn oak,positive,"Good parking with designated Blue Badge spaces but no free parking.  Disabled toilet provided meeting Changing Places criteria. Access by RADAR key, available from staff. "
all aboard watersports bristol,positive,There are 2 disable parking spaces beside the centre and the bus route drops you on the main road beside it. soon the metro bus will come along this road. There is no overhead hoist though they have a mobile hoist upstairs. Contrast toilet seat and sink for visually impaired customers. Hand rail and reasonable room
all bar one edinburgh,negative,"If you are a blue badge holder cool, otherwise the street."
all bar one liverpool,positive,"Taxi rank and James Street railway station and Bus stop 2 mins away. Q Car Park 5 mins walk. Easy to find a bit on the small side, very clean with nice toiletries and powerful hand dryer"
all bar one london,negative,"I couldn't find any signage to the accessible toilet, I had to ask staff where it was.   The toilet has the usual fold-down grab-rail but it was partly detached from the wall: dangerous and negligent. See my pictures below. I was shocked by this. Two stars lost for this.  The red emergency cord is MUCH too short. It stops a good metre short of the floor. See my picture below. It should reach all the way to the floor, so that it can be pulled by anyone who falls over in the often precarious transfer from wheelchair to toilet and back. Two stars lost for this.   "
all bar one london,positive,"North Greenwich Station is fully step-free and just a few hundred metres away. Many buses serve the adjacent bus station. You can also catch riverboats to and from nearby North Greenwich Pier. All riverboats are wheelchair accessible, but mobility scooters must first register with TfL and obtain a Mobility Access Card (free of charge) which is a certificate that their particular mobility scooter is valid for use on riverboats - not all mobility scooters are permitted on riverboats."
all bar one oxford,positive,"No parking at the venue, but there are disabled bays in town and you can park in residents' only bays in Oxford. Try St Giles or get a bus to central Oxford. Good and large with handrails but the radar lock had been broken for some time when I last went in, so anyone with a key can get in."
allan bank and grasmere ambleside,positive,"There is one official disabled parking place up at the house. You drive up a private lane/drive to the property. At the top of the drive there is a gate, depending on when you visit, you might have to get out, open it, drive through and get out again to close it. "
allanwater brewhouse bridge of allan,negative,"Car park currently restricted because of building work in adjacent building. Local road parking can be difficult during day times. Bridge of Allan has good links by road and rail. Railway station about half mile away. Bus stops within 100 yards. Currently the hotel next to the pub is being worked on so there isn't any parking next to it.  We parked in a local car park a couple of minutes walk away.    I'm not sure how good public transport is to Bridge of Allan. Not the best accessible loo, but at least there is one.  It's nice and tall and has handrails (thought they were wobbly), not sure you would fit a large electric wheelchair in it."
allanwater brewhouse bridge of allan,positive,Same care required through microbrewery. Plenty of room and good hand rails inside.
allestree park golf club derby,negative,"Parking is free for all. The carpark is very uneven with no designated parking bays. We went by car but could be accessed by public transport, which would take you to the A6 with a walk up the driveway. The driveway is tarmacked and has speed bumps along the route. No pathway and in places only wide enough for one car to pass. There are accessible facilities in the main building, however on the day I visited, I could not access them as the ramp was blocked with cleaning equipment, and nobody was available to move it."
alligator alley summerdale,positive,Plenty of parking with blue badge spaces close to the ticket office No public transport.  Fine but no emergency string. It seems these are uncommon in USA. 
alloa leisure bowl alloa,positive,"Plenty spaces, but a bit cramped."
alltnacriche carrbridge,positive,"Parking at rear of property right at door, wheelchair accessible  Completely accessible wetroom With large bath shower , shower chair and hoist There's a fully accessible bathroom adjoining the accessible bedroom (there are several rooms, one of which is kitted out as accessible). It has a shower with a custom wheelchair for washing, and a hoist which takes someone directly from sitting in bed over to the jacuzzi bath. The only criticism is that there could be more grab rails."
almond valley livingston,positive,There were plenty of disabled parking spaces right next to the entrance which made parking very easy and straight forward. I noticed there there was a bus stop at the top of the road so not far at all. We used two disabled toilets and they were very spacious and easy to access. Disabled spaces right outside the front door.  Only one on the site plus one in the cafe. Red cords were tied up. One too long. One too short. Unfortunately I didn't have cord cards to attach. Photos below.
almondvale stadium livingston,positive,"ARRIVING AT THE STADIUM From the A899 to the Stadium is well signposted, with a direction sign at every junction.    CAR PARKING Dedicated Car park beside the Stadium.  No charge for Blue Badge TOILETS and REFRESHMENTS Good access"
alnwick castle alnwick,positive,"We arrived by motorhome, following directions from Google Maps. Don't! Google hasn't got a clue where the parking is, though she may have been taking us to the limited accessible parking at the top of the castle in town.  We aimed towards coach drop off and accessible parking and a helpful member of staff showed us where to park. The walk back up towards the castle was lovely, though mostly uphill and cobbled in places.   Signage was distinctly lacking! We got a bit lost and nearly went into the gardens instead of the castle but staff helped redirect us. One of the accessible loos, on the route up to the castle, was out of order. The ones in the courtyard were open and were clean and easy to access.  In the main entrance there is a disbaled toliet and another one located in the cafe shop and courtyard cafe. And additional toliets are available in the Pavilion at the Alnwick Gardens. No problems getting there, disabled spaces close to the entrance and the surface for wheeling ok, though up a gentle slope. No problem, my wheelchair fitted in perfectly and there were suitable grab rails. The staff in the normal car park directed us to a disabled parking car park. Staff in the disabled parking area were very infomative & explained I could swap my manual wheelchair for a electric scooter to get around. My husband was very grateful ! Clean. Accessible."
alnwick youth hostel alnwick,positive,"The hostel doesn't have its own parking, but we had no trouble finding blue badge street parking nearby. It was the best thing about the room!"
alston bar beef glasgow,negative,"Need to go back up in lift to toilet, tight turning space to enter. Big enough for a carer and clean."
alston bar beef glasgow,positive,In glasgow central station so easy access to trains and easy access from NCP car park attached to station
alta alta,positive,We arrived by cruise ship then shuttle bus into town. Lowered pavements and very accessible. All shops in two indoor markets with adjacent multi storey car park.  Toilets in the malls were of generous proportions with all required rails. Loos in Norway tend not to have emergency cords. 
alternative wolf and bear park black forest freudenstadt,negative,"There was an accessible loo by the shop and there appeared to be another block of loos being built at the other end of the park with a disabled toilet.  The one by the shop was ramped but it had a small lip at the top and the bottom of the ramp of a couple of centimetres.  There was a grab bar by the toilet and the toilet roll was on a stand that could be moved.  Unfortunately the toilet was too high to get onto it easily from a wheelchair, the sink was too high to use comfortably and the mirror was also too high.  There was a suitable bin and the room was very clean."
am politician isle of south uist,positive,"Large car park not sure if there was designated disabled parking but wasn’t a problem  Accessible toilet, well signposted, grab rails available. Plenty of room & clean. "
amani house airbnb leeds,negative,Small bathroom and not accessible
amani house airbnb leeds,positive,"There is a space opposite the house, as well as lots of on-street parking. Easy to get here by public transport as just off the main road, so easy bus access and not far from town for taxi rides. "
amazona zoo cromer,positive,Good sized car park with disabled spaces near zoo entrance. Not tarmac so can get a bit muddy with puddles but was no problem for my mobility scooter.  Large ramp to entrance.
amber arts edinburgh,positive,On street parking available nearby. A number of bus stops nearby.
