Unnamed: 0,Venue Name,Text,Sentence Count,Sentences,Word Count,Review ID,Gold Aspect Labels,Gold Sentiment Labels
50709,Hans en Grietje,"Full of character. A small cafe bar, good selection, friendly staff. Steep steps for bathroom facilities",3,Steep steps for bathroom facilities,5,479737,general accessibility,
51569,Bierfabriek,Nothing's better than freshly brewed beer and juicy whole chicken. The ambiance of a warehouse and unlimited access to free peanuts with beer makes it very different from the others. A must try when you are in Amsterdam.,3,The ambiance of a warehouse and unlimited access to free peanuts with beer makes it very different from the others.,20,495365,,
60950,La Storia della Vita,Great location that is easy to reach via public transport. Well prepared authentic Italian dishes at very reasonable prices. Real table linen vs plastic. Very attentive service. In summary - a gem!,5,Great location that is easy to reach via public transport.,10,295903,transport,
77755,Coffeeshop Club Media,"Everything is good, but if you want to register to get easy access you will have to constantly chase them. They actually have great coffee also!",2,"Everything is good, but if you want to register to get easy access you will have to constantly chase them.",21,236750,other,
78867,Chupitos,Colored security guard who also denied colored partygoer access based on his color !!! That is discrimination !!! If only I could give you 0 stars !!! …,4,Colored security guard who also denied colored partygoer access based on his color !!!,16,16406,other,
82141,Peper & Zout,Went for breakfast for the first time today. Nice place friendly staff. The pancakes with nutella were very tasty. Pity about the onions in menemen. Also clean toilets 👍🏻 and free parking in the garage. Worth …,6,Also clean toilets 👍🏻 and free parking in the garage.,9,156554,,
84338,Café-Restaurant Amsterdam," Very nice location that is easily accessible by public transport or private transport. Near a large parking garage that is easily accessible. Café restaurant Amsterdam is located in a beautiful building, the food is …",3,Very nice location that is easily accessible by public transport or private transport.,13,119375,,
84399,Café-Restaurant Amsterdam," Beautiful place, great for snacks, clean and with good decoration. It has good spaces and well-distributed tables. The price is average for the installed region. Easy access and good lighting. …",5,Easy access and good lighting.,5,230997,general accessibility,
84634,Café-Restaurant Amsterdam,Great restaurant. Very suitable for wheelchair users. Extensive menu …,3,Very suitable for wheelchair users.,5,589860,wheelchair,
87163,Babel," A nice discovery of this bar restaurant located in front of the sea on the famous Promenade des Anglais. A rather calm, friendly and attractive place, the fresh homemade iced tea good. Access to the terrace possible …",3,Access to the terrace possible …,5,151803,,
90624,Eersteklas Restaurant,Good value for money. Quiet place. Pleasant family meal. Access for the elderly without problem …,4,Access for the elderly without problem …,6,151800,general accessibility,
90662,Eersteklas Restaurant," Had a wonderful lunch, toilet not wheelchair agile. But a must to eat …",2," Had a wonderful lunch, toilet not wheelchair agile.",9,53809,"wheelchair, general accessibility ",
91696,Pompa Tapas Bar,Very good food and fast service as well. Food came piping hot and fresh. We both had pasta which were great but the man having fish and chips beside us did make us a  little jealous. Just beside the museum area easy to get to and can sit inside or out.,4,Just beside the museum area easy to get to and can sit inside or out.,15,369959,,
92276,Pompa Tapas Bar," Tasty dishes. Missing access and chair for baby

 …",2,"Missing access and chair for baby

 …",6,390542,,
93905,Bitterzoet," Friendly employees, both at ticket control, bar and security. An attractive, small bandstand. At the lockers you are reminded that you have to take into account that you lost the 50 euro cent coin when you open it in …",3," Friendly employees, both at ticket control, bar and security.",11,38937,transport,
97014,THT,"Nice location. Easy to reach with the free ferry from the Central Station. Good atmosphere and good prices for Amsterdam levels, e.g. beer for € 2,90.",4,Easy to reach with the free ferry from the Central Station.,11,231171,transport,
97026,THT,Lively. A little expensive. Good music. Easy to go from Ferry of Buiksloterweerweg. Perfect place to go with friends or colleagues on a warm sunny day.,5,Easy to go from Ferry of Buiksloterweerweg.,7,231138,transport,
97610,Librije's Zusje Amsterdam," After a successful first visit now on repeat, Sidney Schutte had indicated that the dishes would be renewed after six months. For security reasons, parking in the arena was not possible today, but tram 4 brings you …",2,"For security reasons, parking in the arena was not possible today, but tram 4 brings you …",18,258715,"transport, parking",
97959,Chao Phraya,i noticed it is common public access by sailing this river. piers are everywhere. the night cruise is a fantastic experience.,3,i noticed it is common public access by sailing this river.,11,636456,,
98088,Chao Phraya," Very convenient as public transportation in Bangkok. Photos, unfortunately, from an old phone …",2,Very convenient as public transportation in Bangkok.,7,113612,transport,
99169,Vandaag,Every year in November there is in Amsterdam in RAI Center one of the most important exhibition for marine business. Well this restaurant being very close to Rai is easy to access. Basically you pay a fixed rate of 29 euro and you can eat …,3,Well this restaurant being very close to Rai is easy to access.,12,612678,transport,
114212,Volt,"A nice restaurant, with plenty of space to feel undisturbed when eating with other people, that's well reachable with public transport as well as car or bike. …",2,"A nice restaurant, with plenty of space to feel undisturbed when eating with other people, that's well reachable with public transport as well as car or bike.",31,146646,transport,
114580,Coffeeshop Rock-it,"A nice ambience and a warm welcome is what we experienced. A great menu selection to choose from, prices are average for Amsterdam. It’s in a prime spot with easy access to it by tram and metro. Sitting by the window, enjoying a nice smoke with my love...what more does a girl need? Some good coffee would be a start 🤣🤣",5,It’s in a prime spot with easy access to it by tram and metro.,15,368005,transport,
117073,Coffeecompany,Quite a big location. I like the coffee's served at CC. Has stairs to the bathroom so not ideal for people who can't move around easily. Generally mostly visited by students that live/study in the neighborhood.,4,Has stairs to the bathroom so not ideal for people who can't move around easily.,17,310257,"toilets, general access",
126380,India Roti Room,"Good restaurant, tasty food, and friendly staff. Love the samosas and garlic naan bread! Also an easy to reach location, and the restaurant is spacious. You can easily sit here quietly, have good food and wine, while having good …",4,"Also an easy to reach location, and the restaurant is spacious.",12,156446,"general accessibility, transport",
132385,"Bagels & Beans Amsterdam, Bos en Lommerweg"," Friendly staff, tasty sandwiches. Pricey though. Not very easy for wheelchair users to enter, but it is possible. Sweet little dog that looked a bit sad. 😉 …",5,"Not very easy for wheelchair users to enter, but it is possible.",13,419199,,
142830,Ristorante Italiano Gustatio,"I really enjoyed the food and place! It is well located and easy to find.
The workers/owner(s) are really nice and super friendly.
I will visit again to try another dish!",4,It is well located and easy to find.,8,359146,,
146805,Tanuki,Good Japanese lunch with friendly service. Easy parking in front of the restaurant.,2,Easy parking in front of the restaurant.,7,231073,,
155564,Lalla Rookh," Unbelievably .... much too salty and not tasty! What a witch, say, who rules the kitchen there! It is absolutely not wheelchair accessible !! Threshold is too high. Bad, bad, bad ... …",5,It is absolutely not wheelchair accessible !!,8,357204,,
157135,Het Ketelhuis,"Located at the Westerpark, Het Ketelhuis is a cozy cinema + café + bar to spend free time at. Their movie calendar present Arthouse and children's films. Easy access to public transport and close to CS. Parking availability in Westerpark.",4,Easy access to public transport and close to CS.,9,231000,,
160080,Mossel & Gin," Easy menu, and very friendly service at a top location in the park. …",2," Easy menu, and very friendly service at a top location in the park.",14,29237,,
163247,Prik,One of the nicer gay bars in Amsterdam thanks to the exceptionally friendly staff. Customers of all ages with an emphasis on people in their thirties and forties. Toilet unfortunately not wheelchair accessible (down …,3,Toilet unfortunately not wheelchair accessible (down …,7,566353,,
164010,Plancius,Cozy brasserie. Fairly spacious. Toilet in basement and only accessible via stairs. Operation is fast and friendly. Pancake and coffee was delicious and the price was reasonable. …,6,Toilet in basement and only accessible via stairs.,8,566310,,
164618,white label coffee,What a waste of what could be a nice work/coffee/meeting place! They have made sure you can't work from here by removing all access to electrical power outlets. The only nice thing about this place is a tiny tea-room like seating place …,3,They have made sure you can't work from here by removing all access to electrical power outlets.,19,554604,,
166599,The Breakfast Club,Lots of outdoor seating. Good food and nice staff. Easy to get to from the train.,3,Easy to get to from the train.,7,231135,,
168334,Hoppa!,"Easy webpage, and with connecting flights, notification emails. Super system. Super cars, Mercedes, clean, well kept. I felt very safe.",4,"Easy webpage, and with connecting flights, notification emails.",10,231192,,
169638,Dan Murphy's Irish bar,Nice little pub. Has seating inside up to the open access to the outdoor seating making for a best of both world experience in Summer. Friendly staff and good assortment beverages.,3,Has seating inside up to the open access to the outdoor seating making for a best of both world experience in Summer.,22,310246,,
172868,At the park,"Perfect for families with young ones who can't sit still for very long or if you just want to enjoy the baseball park experience at a reasonable price. Food and be easily accessible from the park, and even some she to be found under the tipoo trees. Wonderful feature for Petco.",3,"Food and be easily accessible from the park, and even some she to be found under the tipoo trees.",20,251155,,
172882,At the park,A public park on the grounds of Petco Park. Awesome place to bring a lunch and relax. Park closes 4.5 hours before game time. Must have ticket to game to enter during game.,4,A public park on the grounds of Petco Park.,9,147385,,
172913,At the park,Great place for the kids to play and open on off days. Allows for access to a great ballpark,2,Allows for access to a great ballpark,7,155864,,
173363,Groot Melkhuis,"Unfriendly staff. Fast food, quite expensive for offered quality. After a small accident my son had in a toilet I was forced to clean the toilet in front of other visitors (for using which I paid, for a minute). Beautiful spot in a park, but doesn’t worth visiting really.",4,"After a small accident my son had in a toilet I was forced to clean the toilet in front of other visitors (for using which I paid, for a minute).",33,152870,,
178447,Café Ons,"Lovely and cozy place with delicious food and friendly staff.
Easy to reach on foot in 5 minutes from Amsterdam Central station with the free ferry service. Highly recommended to enjoy your meal in a relaxing atmosphere while avoiding the mass of tourists in the city center.",3,Easy to reach on foot in 5 minutes from Amsterdam Central station with the free ferry service.,17,231167,,
180076,Ô MAI Vietnamees Restaurant,"I made a 40 euros order pick up through Thuisbezorgd in this restaurant. When I called to confirm if my order was ready, the restaurant informed me that my order was already picked up by someone else . Both the owner of the restaurant and Thuisbezorgd denied any responsibility. I got robbed 40 euros here. AVOID!",5,Both the owner of the restaurant and Thuisbezorgd denied any responsibility.,11,194659,,
180714,Troost,"Good place for a beer and a burger. Very easy to get there with public transport (tram 12). The service is good. Only thing for me was the very loud noise of other groups, but hey, what can you expect in a place where they serve proper beers",4,Very easy to get there with public transport (tram 12).,12,579636,,
184907,De Ysbreeker," Excellent dishes, nice place and easy access. Fair prices …",2," Excellent dishes, nice place and easy access.",8,31610,,
188202,Eetcaf√© Blauwbrug," eaten delicious ribs, with a good beer, to perform in Carré. Ideal location to eat informally but good before you go to the theater or on stage. Waterloo nearby parking garage, so easily accessible. …",4,"Waterloo nearby parking garage, so easily accessible.",8,595894,,
189314,Wok to Walk,Great choice of food. Location is easy to find,2,Location is easy to find,5,377458,,
191967,t Smalle,"It's a tourist place by the canal so you'll have to be lucky to get a seat. If you do, you'll have access to OK food and OK drinks at OK prices (for Amsterdam's Jordaan district).",2,"If you do, you'll have access to OK food and OK drinks at OK prices (for Amsterdam's Jordaan district).",26,347596,other,
192636,Poesiat & Kater," Nice ambiance and a nice scrambled eggs with Gruyere cheese and pancetta. But not wheelchair-friendly. Wheelchairs can be used, but after that there is no disabled toilet. And I don't think people with walking …",4,But not wheelchair-friendly.,5,198909,wheelchair,
195299,Madam Pancake," The pancakes taste great!
The restaurant is very easy to find from the main station.
The staff is very nice and helpful too! …",4,The restaurant is very easy to find from the main station.,11,530583,transport,
202582,Chinese Indonesian Restaurant,"Great chinese restaurant with variety of Indonesian food as well.
Good Internet access too!
2 thumbs up and may your business grow and long lasting!",3,Good Internet access too!,5,270257,other,
205846,Koffieschenkerij," Beautiful corner just attached to the Church (it has a direct access door inside) where you can taste excellent desserts and teas. The place is charming, it is very busy and it has a very good atmosphere. The two …",3,Beautiful corner just attached to the Church (it has a direct access door inside) where you can taste excellent desserts and teas.,24,11011,other,
211034,Loetje Zuidas,Great restaurant. But on Saturday night not having the enough staff and denying entry seems not professional at all. Even more rude the fact that after being denied coming in and waiting outside for a minute more people came inside the …,3,Even more rude the fact that after being denied coming in and waiting outside for a minute more people came inside the …,22,234740,staff,
212262,Rainbowl,Their bowls are amazing. The location is easy to reach by public transport and the atmosphere is nice. They’re serving very good bitter strong coffee (personal pref) and they have a wide variety of alternative diary in case you don’t want normal milk in your coffee.,3,The location is easy to reach by public transport and the atmosphere is nice.,14,518233,transport,
216537,Sampurna,"Obviously, being a tourist, I wanted to avoid the tourist places. Not one of the people in here were tourists. All local Dutch! Tasty food and genuine Indonesian food made for an incredible evening. Located directly in front of the flower market, it also provides perfect access to the town, day or night!",5,"Located directly in front of the flower market, it also provides perfect access to the town, day or night!",22,377144,,
220261,Wok to walk," You pass, you take a box of you and you are done. Quick, easy and delicious. …",3,"Quick, easy and delicious.",5,447840,,
220731,Bar Kosta,Too bad that wheelchair accessibility has not been taken into account after such a thorough renovation. (goods) Elevator present unfortunately toilets not wheelchair accessible. Easy to solve by closing the last …,3,(goods) Elevator present unfortunately toilets not wheelchair accessible.,10,136772,"wheelchair, toilets",
224563,Luden," A nice restaurant with an easy menu. Here you can order a good hamburger, a tasty satay or a meal salad. The times we visited this restaurant the staff were very unfriendly. They will argue with you here if a wrong …",4,A nice restaurant with an easy menu.,7,2995,,
234731,Stooker Roasting Company,Not really open to the public as a cafe. The coffee is very good and certainly worth trying. It can be literally twice the price as other decent coffees.,3,Not really open to the public as a cafe.,9,417868,,
245201,Cafe De Pool," Bar very nice to relax !! A small corner of the kitchen at the back corner, very well equipped to prepare all the food cutters by the staff of the establishment. WC access if consumption! …",4,WC access if consumption!,5,592417,toilets,
255587,Caf√© Ons,"This Nice café offers Amsterdam classics, and really good onion soup! As tourist it is easy to reach from central station. Please walk 300 meter further than tolhuistuin to visit this authentic place!",3,As tourist it is easy to reach from central station.,10,174999,transport,positive
261641,Eazie," accessible access although somewhat upgradeable
accessible counter
mixed and accessible bathroom. physically but not cognitively ... it is …",2," accessible access although somewhat upgradeable
accessible counter
mixed and accessible bathroom.",11,131076,"general accessibility, toilets",positive
262535,Club NYX,"Unfortunately the bad reviews are true. We travelled for 2 hours and waited 1,5hours in line. For the simple reason that our friend had gone up to the security guard to ask if it still made sense to wait in line to get a ticket and then went back in line, we got denied access. They were extremely rude and wouldn’t hear us out",4,"For the simple reason that our friend had gone up to the security guard to ask if it still made sense to wait in line to get a ticket and then went back in line, 
we got denied access.",40,259140,other,negative 
264434,Bosco,Like to sit here .. Easy accessible. Good value for money ... …,2,Like to sit here .. Easy accessible.,6,65460,general accessibility,positive
265571,Mr Porter," The location is excellent, there is access to the roof. I liked the cocktails too. …",3," The location is excellent, there is access to the roof.",11,104082,general accessibility,positive
275299,Cafe de Bazel,"Curious about the history of the city Amsterdam? This is the place to learn everything about the origins, history and progress of this great city. An absolute must for the Amsterdam citizen himself and the visiting tourist. The city archives are best accessible by public transport.",4,The city archives are best accessible by public transport.,9,503078,transport,positive
275390,Cafe de Bazel," Really recommended, only the stereoscopic photo collection at the entrance. And then the Archives of the Iron Chapel, from Floris V. Beautiful and free access! …",3,"And then the Archives of the Iron Chapel, from Floris V. Beautiful and free access!",17,171689,other,positive
277055,LAB 111,"They can do a better job related to the queuing. You have to get in to a queue in front of the door since they have free seating policy. However, there is no designated queuing area or someone to manage the line. Therefore, people cut in …",4,You have to get in to a queue in front of the door since they have free seating policy.,19,628764,other,netural
279889,Ali,"Amazing food!
Well grilled meats and they have Ayran. Their rice is a top notch. Location is easy to reach. …",5,Location is easy to reach.,5,377460,transport,positive
282132,Mr. Sam Asian Bistro," Delicious eaten, different flavors than you are used to from sushi, chicken and steak. Yummy!!! Easily accessible and easy parking. 👍👍 …",4,Easily accessible and easy parking.,5,230843,"transport, parking",positive
283320,Bar Tolhuistuin,"Atmosphere is definitely unique : spacious restaurant area in intimate lighting, plants wall ; outdoor seating relax and more of a sunny sunday feeling ; bar is cosy and classy, with area for live music. There is an elevator to access the restaurant (otherwise main door is reachable by outside stairs)",2,There is an elevator to access the restaurant (otherwise main door is reachable by outside stairs),18,548545,general accessibility,positive
283328,Bar Tolhuistuin,"Definitely one of the most cozy venues I've been to.  Fantastic environment, easy access from Amsterdam Central Station (with the free ferry), and an overall lovely experience. The venue itself is well ventilated, and you can pay for drinks …",3,"Fantastic environment, easy access from Amsterdam Central Station (with the free ferry), and an overall lovely experience.",21,245941,transport,positive
283374,Bar Tolhuistuin,Very nice place with a good view on Amsterdam Ei. Easily accessible from Central Station by ferry. Has some small venues for beers and small plates with terrasses by the water with a great ambience! Also a theatre with almost daily performances,4,Easily accessible from Central Station by ferry.,7,230865,transport,positive
283652,Bar Tolhuistuin,An environment to visit if you are visiting Amsterdam. Easy access with a free ferry. An area for walking or cycling. Near the EYE museum and you can see the operation of the anvils between the sea level and the …,4,Easy access with a free ferry.,6,231002,transport,positive
283721,Bar Tolhuistuin," Nice restaurant. Good food, the menu is often renewed. Easy to reach by car (parking nearby free of charge from 7 p.m.) and by public transport. …",4,Easy to reach by car (parking nearby free of charge from 7 p.m.) and by public transport.,20,231162,"transport, parking",positive
283893,Bar Tolhuistuin,Relaxed atmosphere and very easy to reach from central station. …,2,Relaxed atmosphere and very easy to reach from central station.,10,88074,transport,positive
289245,Gollem,Great place with so many different beers. Especially one of the staff members was really helpful. The place is easy to get to by public transport. Best beer of the night was the IPA (Falco) from the US.,4,The place is easy to get to by public transport.,10,526061,transport,positive
290427,De Nieuwe Anita," The most striking is the casual relaxed and homely atmosphere where everything is done in its own way. At the front a living room cafe, at the back a dance floor with access to a lower floor with a stage. There is …",3,"At the front a living room cafe, at the back a dance floor with access to a lower floor with a stage.",23,176099,general accessibility,netural
291067,Kapitein Zeppos,"Fascinating cafe / restaurant in a back street of Amsterdam. We only wanted hot chocolate, but were impressed with friendly welcome and service. Good level access for wheelchair users.",3,Good level access for wheelchair users.,6,277012,wheelchair,positive
291427,Kapitein Zeppos," Magnificent little bar located in a small quiet lane, with trees and discreet access, we are delighted to stumble upon it. Correct price, good menu and very friendly and smiling staff. I recommend! …",4," Magnificent little bar located in a small quiet lane, with trees and discreet access, we are delighted to stumble upon it.",23,67380,other,positive
295961,Westergasterras," Not open now i.vm. that Corona happen, but looks attractive on the outside.
Accessible on foot or by bike, limited access for motorized traffic …",3,"Accessible on foot or by bike, limited access for motorized traffic …",12,151812,transport,netural
308884,Cannibale Royale du Nord,"The Cannibale Royale Du Nord is already the fifth branch of this popular restaurant in Amsterdam, now in the NDSM wharf area. Easy to reach by free ferry from Amsterdam Central Station, take the one marked NDSM. …",3,"Easy to reach by free ferry from Amsterdam Central Station, take the one marked NDSM.",16,231163,transport,netural
311312,De blauwe Hollander," Appetizers were alright. Main course was not very intoxicating. An employee with access to the kitchen (no waiter) has washed himself at the toilet after big business, not hands. Is visited gug. Without reservation, …",5,"An employee with access to the kitchen (no waiter) has washed himself at the toilet after big business, not hands.",23,167221,staff,negative 
312124,GlouGlou," Very accessible, easy going, crowded, alternative wine room (only vins naturels). Interesting map but especially the curiosity and ""alternative"" wine experience and pleasant atmosphere. …",3," Very accessible, easy going, crowded, alternative wine room (only vins naturels).",16,113027,general accessibility,positive
313532,Café Langereis," Really nice coffee to sit and have a drink.
In addition, there are board games open access if you want to do a naval battle for example :) …",2,"In addition, there are board games open access if you want to do a naval battle for example :) …",21,350997,other,positive
314099,Circl,"The location is great, conveniently located at the heart of the ""zuid-as"", easy to reach via public transportation. …",2,"The location is great, conveniently located at the heart of the ""zuid-as"", easy to reach via public transportation.",24,518277,transport,positive
316264,McDonald's,"Like everywhere in this miserable country you are forced to pay for access to their dirty, tiny toilet. Even the tiny sachets of sauce are a chargeable item.",2,"Like everywhere in this miserable country you are forced to pay for access to their dirty, tiny toilet.",19,375430,toilets,negative 
322936,Zurich," Very good food, a little noisy. Easy access with the tram. …",3,Easy access with the tram.,5,231003,transport,positive
325522,Ter Marche & Co," A restaurant-bar where you can either have burgers or have cocktails.
It is located next to the flower market, where it has an access and another …",2,"It is located next to the flower market, where it has an access and another …",16,358077,,netural
333291,Grill Room Marmara,I've been coming here for 14/15 years. It's always great food again. The staff is very customer oriented. It's not expensive. The wheelchair is suitable with a lift. …,6,The wheelchair is suitable with a lift.,7,544494,"wheelchair, general accessibility",netural
338629,De Tropen,"De Tropen is a perfect spot for a coffee(meeting) in the morning, a delicious lunch or dinner. The interior is impressive and the terrace has a great view over the Oosterpark. It's very easy to access through station Muiderpoort if you are from out of town.",3,It's very easy to access through station Muiderpoort if you are from out of town.,17,366734,transport,positive
338643,De Tropen,Restaurant De Tropen can be accessed from within the Tropenmuseum. But you can also access it from the outside if you are not visiting the museum. The lunch food is a healthy Indonesian fusion cuisine. Service was quick and friendly.,4,But you can also access it from the outside if you are not visiting the museum.,16,201126,,netrual
339042,Bar Americain," Very easy access to a restaurant. It's not hard to get anywhere in Manhattan, though. The environment was quite clean and nicely arranged. The waiter who was interested in us was not very guiding. Could not help much …",5,Very easy access to a restaurant.,6,114552,general accessibility,positive
343196,Cafe Vrijdag," Nice tent, delicious lunch. Baby changing area and easy to get in by car or wheelchair. …",3,Baby changing area and easy to get in by car or wheelchair.,12,180595,"toilets, general accessibility, transport",netural
343787,Sugo,With love from Italy! I find this place very cozy! They have a great variety of pizzas! Nice place to come with friends! You can also bring your laptop here and use it while you eat! Free-Wifi access! Very friendly staff!,7,Free-Wifi access!,5,260150,other,positive
343999,Sugo,Easy to reach via the NZ line. Tasty pizzas and desserts. …,3,Easy to reach via the NZ line.,7,29256,transport,netural
349535,Proost & Stroop," Big terrace, bit strange place. But free parking and easily accessible. Large playground next to the terrace. Please reserve in advance. Although they are not difficult about this. …",6,But free parking and easily accessible.,6,197999,"parking,general accessibility",positive
349951,Sluyswacht,A nice pub. Very rustic and it fits the ambience. The prices are ok and the service is nice. There is a nice view of a canal and it is very nice there in summer. It is easy to reach on foot from the main train …,5,It is easy to reach on foot from the main train …,11,357738,transport,positive
352064,Lion Noir,Very good flavors on top dessert sought. Not very hearty but tastes are present ... by cons no handicap access toilets are upstairs 😣 …,2,Not very hearty but tastes are present ... by cons no handicap access toilets are upstairs 😣 …,15,419251,"toilets, other",negative 
352495,Song Kwae,Worst food and worst service ever! I even witness restaurant staff negating access to the toilet to a little girl (maybe 5y.o) as they thought she wasn’t a restaurant guest! Very inhuman! They firstly mentioned “we don’t have toilet in this …,4,I even witness restaurant staff negating access to the toilet to a little girl (maybe 5y.o) as they thought she wasn’t a restaurant guest!,29,324478,"staff, toilet",negative 
360802,Coffee George,"Accessible entrance, and bathrooms/WC on the same floor.
Delicious food: the carbonara and lobster linguine were very good & super fresh mozza in the caprese salad. …",3,"Accessible entrance, and bathrooms/WC on the same floor.",11,151810,"general accessibility, toilet",netural
362862,Moon,Extraordinary views from the revolving restaurant. High quality dishes and good wine selections. Easy to reach via free ferries leaving almost every 5 minutes from behind Amsterdam Central train station.,3,Easy to reach via free ferries leaving almost every 5 minutes from behind Amsterdam Central train station.,17,231170,transport,positive
371569,Het Bosch,"In one word incredible. Nice location on the water front adjacent to the Amsterdamse Bosjes. Easy parking (free). Warm welcome upon arrival and seated comfortable at the corner table with free view over the lake, marina and river. Before …",5,Easy parking (free).,5,231070,parking,positive
