,Name,Sentiment,Text,Label
432324,Piqniq,positive,"Great food, a lovely and cozy atmosphere in a nice part of Amsterdam.",1
227032,The Breakfast Club,negative,(Translated by Google) No service.,0
267344,Pacific Parc,positive,A nice evening is also regularly organized.,1
739569,The Poolbar,positive,(Translated by Google) A cozy games café with a cozy atmosphere and the food and drinks is not too expensive.,1
245235,Ô MAI Vietnamees Restaurant,positive,(Sometimes hard to find in Amsterdam).,1
663235,Kantjil & De Tijger,negative,Not my favourite Asian food (too much soy sauce).,0
408515,Kapitein Zeppos,positive,(Translated by Google) With plants and lovingly designed.,1
398553,Schuim,positive,"(Translated by Google) Atmosphere at the appointment, a huge map, cosmopolitan, ultra downtown.",1
357295,YamYam,positive,"Pitty they don't open earlier cos pizza is a snack, something you wanna grab and go and not really for an evening meal with candles and vine.",1
51464,Maoz,negative,"(Translated by Google) No flavor, no salt.",0
337180,De Biertuin,positive,Sit on long tables with others and enjoy an amazing selection of beer.,1
112584,Martinot,positive,Amazing food!♥️,1
171373,The Otherside,positive,The guy behind is pretty cool if you're mature enough to smoke you darn teens!,1
250400,Caf√© Lowietje,positive,(Translated by Google) Atmospheric restaurant.,1
126197,Pompa Tapas Bar,positive,"I recommend it, if you feel like eating pasta it is the right place.",1
41891,De Broeders,positive,(Translated by Google) Ordered an Easter box from the Brothers and we are very satisfied! The food was delivered exactly at the agreed time in a nicely decorated box with …,1
760438,The Bulldog Rock Shop,positive,nice quiet place ..,1
124434,Chocolaterie Pompadour,positive,My friends said it’s a kinda famous place for chocolate products.,1
623244,Sir Hummus,positive,(Translated by Google) The most beautiful hummus in Amsterdam  (Original) اجمل حُمُّص في أمستردام,1
101332,Oresti's Taverna,positive,Expect more bouzuki sound next time.,1
9520,Fenan Klein Afrika,positive,(Translated by Google) Food too good for a pittance!! Don't forget the banana beer …,1
550816,Bluebird Coffeeshop,positive,Good selection of green Sells cakes as well and has outside seating.,1
689104,Kam Yin,negative,The food was just ok for the price but the place was not that clean.,0
628831,Kobalt,negative,A glass of wine 5 euros a small beer 0.25 for 3.50 …,0
130010,Bistrot Neuf,positive,I highly recommend! …,1
626407,Rokerij III,positive,Food was very good and margaritas were awesome.,1
78068,Ruby,positive,Very friendly and adequate service and good atmosphere.,1
146470,Fantasia Trattoria,positive,…,1
295384,La Casa di Michael,positive,"(Translated by Google) Small restaurant, comfortable, nice service and the best food we had in 4 days Amsterdam.",1
146786,The Stones,positive,Amazing Place with very nice ambience and humble hospitality.,1
148337,Ron Gastrobar Oriental,negative,"However, as a vegetarian I was extremely disappointed.",0
590456,De Brabantse Aap,negative,We get something else than we ordered...,0
562829,Sumo,negative,…,0
638803,Mondial Crepes & Waffles,positive,(Translated by Google) Best crepe  (Original) Beste crepe,1
630222,Bakers and Roasters,positive,The best Pancakes I had in my entire life!,1
238664,Leeman D√∂ner,positive,(Translated by Google) Simply the tastiest sandwich in the Netherlands  (Original) …,1
175096,Hoogendam,positive,Good food and good price.,1
86042,The Taste of Vietnam,positive,"Fresh spring rolls, crispy shrimp rolls crispy and tofu noodles with beef were all v good too.",1
370546,Mr Porter,positive,Best meat i had for a very long time.,1
606041,De Pizzabakkers Plantage,positive, (Original) …,1
134210,Chao Phraya,positive,Many aquatic plants were flowing.,1
481669,Eetcaf√© 't Gasthuys,positive,Recommended.,1
122387,Argentinos,positive,"(Translated by Google) Excellent meat, delicious pork ribs !!  (Original) …",1
343979,Bakers & Roasters,positive,I had the fruitbowl for breakfast and the huevos rancheros for lunch.,1
657868,Burger Zaken,positive,They serve one of the best burgers in town for real!,1
585525,Bar Botanique Cafe Tropique,positive,"We had the chance to have as waiter a great listener, very kind, friendly and smily (and very good looking) guy.",1
349795,I Trulli,positive,(Translated by Google) Fine restaurant with tasty pizzas.,1
9818,Cobra Caf√©,positive,It's fine.,1
674586,Warung Spang Makandra III,positive,The best roti in town.,1
599013,Maoz,positive,"(Translated by Google) Tasty falafel pita bread with humus sauce, Sometimes at 22:00 very busy and too few crutches …",1
176187,Urban Outfitters,positive,Love this store a lot! Too expensive tho,1
518489,Irish pub St. James Gate,positive,We have struggled to find decent food while in Amsterdam but this place has been so amazing that we have regularly returned.,1
810121,Ibericus Amsterdam,positive,Travel through Spain in this lovely shop !,1
157264,Hunter's Coffeeshop,negative,Awful service by the Italian crew member.,0
727088,The Lobby,negative,My friend and I had lunch at the lobby Fizeaustraat this Sept.,0
139195,Quattro Gatti,negative,The pasta sauce was more or less from a tin and cost a lot too.,0
756862,Chicago Social Club,negative,"It is a 21+ club, this is not indicated anywhere.",0
354288,Vegan Junk Food Bar,positive,I love this! The food is great and so satisfying🙏,1
625589,Superskunk,negative,"Very unfriendly staff, the stuff is overpriced and have something unnatural inside.",0
617516,The Fat Dog,positive,"Food was delicious, service was GREAT.",1
419409,Mankind,positive,Enjoy a nice coffee on the terrace.,1
640746,Caffe Esprit,positive,"Nice service, good offer.",1
600241,Pancake Corner Restaurant,negative,(Translated by Google) Sometimes it takes the service and the food is not so good …,0
603429,New Times coffeeshop,positive,"(Translated by Google) Nice coffee shop, excellent quality products.",1
749406,Geisha,positive,Delicious Asian fusion cannot recommend enough,1
623025,Sir Hummus,positive,It's not a big deal in a quiet neighborhood where you can even park your car on Saturdays.,1
664333,Kantjil & De Tijger,positive,"(Translated by Google) Delicious food, good drinks and friendly service.",1
95419,Box Sociaal,positive,Will definitely come back!,1
178104,caf√© Flamingo,positive,Lynn the bartender was really nice! Thanks for the cool evening.,1
70178,Star BBQ,positive,Kpop is usually playing in the background if thats your thing,1
699483,Royal Thai,negative,Very unfortunate but this.,0
230720,Spanjer en van Twist,positive,Great spot for a glass of wine by the water/canal end of the afternoon...just perfect to unwind and attentive service from the staff,1
409508,Dolce & Gelato Bio,negative,Never come here.,0
799548,Mas Tapas,positive,The rooftop bar is a must!,1
166152,Cafe het Hok,positive, (Original) …,1
63548,Caf√© Scharrebier,positive,"(Translated by Google) Top bar, away from the crowds.",1
662811,Kantjil & De Tijger,negative,The waitress was really new bless her and It seemed management had not given her the training she needed …,0
56050,The Duchess,positive,cant fault this venue.,1
14136,Athene,negative, When an …,0
716149,New York Pizza,positive,(Translated by Google) Delicious pizza  (Original) Heerlijke pizza,1
168749,Eetsalon Van Dobben,positive,(Translated by Google) Fillet sandwich  (Original) Broodje filet,1
43606,Caf√© Belgique,positive,So well decorated and lovely it could be only love at the first sight.,1
658396,Burger Zaken,positive,Just Perfect,1
184234,Jazz Cafe Alto,positive,Google maps has this in the wrong place!  Search for the ADDRESS.,1
647525,van Kerkwijk,positive,…,1
40333,Grandcafe Mahler,negative,…,0
18621,Burger Fabriek,positive,"Best burgers in town, without a doubt",1
654391,Landmarkt Restaurant,positive,Great market..,1
190400,Subway,negative,That,0
19227,Burger Fabriek,positive,(Translated by Google) If you are in Amsterdam you should treat yourself to a burger.,1
547253,Yo yo!,positive,"Cool chairs, great bubble tea!",1
13764,Stach,positive,Good sandwiches of really nice bread.,1
326803,Lange Leo,positive,Strong beers at 8E …,1
263325,'t Smalle,positive,(Translated by Google) Very nice cafe.,1
167793,Eetsalon Van Dobben,positive,Yummmmm croquets!!!! 😋 Would drink milk here!,1
410219,Bangkok,positive,Authentic Thai food.,1
515250,Starbucks,negative,"Also, please get more power outlets!",0
93411,Scandinavian Embassy,positive,Mette! Would definitely visit again!,1
232411,Caffe Italia,negative,"(Translated by Google) Unfriendly service, many flies.",0
421415,Bar Spek,positive,I'm sure this place gets busy but first thing on a Friday morning it was quite.,1
264194,Poesiat & Kater,negative,(Translated by Google) The beer was super but the food mediocre.,0
678453,Deer Mama,positive,"Haven't tried their food yet, bur chai latte is amazing! And I really love the atmosphere here ❤",1
269264,Thai Food Caf√©,negative,My boyfriend and I ordered from Soi 66 with a huge craving for Thai.,0
560647,Happy Corner,positive,Fair for the price.,1
365801,Eazie,negative,I ordered a tropical raspberry smoothie which was supposed to be made of raspberries and mango yogurt.,0
423717,Pasta Pasta,negative,…,0
646537,van Kerkwijk,positive,One of the best meals I’ve had in my life.,1
661541,Baba Coffeeshop,positive,(Translated by Google) Really great shop !!! Therefor 4 stars.,1
237164,BAK,negative,i go to bak now babyy.,0
558676,Frietsteeg,positive,Best fries in Amsterdam.,1
482878,Het Zwaantje,negative,I'll save the best for last.,0
349950,Gartine,positive,would love to come back again!,1
441867,Hap Hmm,positive,Rabbit with red cabbage and stewed pears.,1
645649,Meneer de Wit Heeft Honger,positive,Definitely worth eating here.,1
16382,Big Shots,positive,(Translated by Google) Coffee on top  (Original) Coffee au top,1
142418,Tapas Cafe Duende,negative,Highly recommended! …,0
741348,Blue Pepper,positive,Really nice and exciting food.,1
466262,Heffer,positive,"(Translated by Google) Central and cozy, a good place to eat or have a drink !! And also with Spanish waitresses !!!!! A luxury.",1
80080,Cafe Brecht,positive,"At times it can be very very busy, but if you manage to get there at a low point, it is great place to spend some time with simple good, drinks and possibly reading or with friends.",1
597368,Greenwoods,positive,"Had an extraordinarily tasty breakfast at Greenwoods, the staff was attentive, friendly and quick at the same time.",1
358305,Shahjahan Indian restaurant,positive,Attentive to vegan and vegetarian needs.,1
300915,Sampurna,positive,"Bnr ""Indonesia skli.",1
292568,Loetje Zuidas,positive,(Translated by Google) Pleasant atmosphere good food on the zuidas for a reasonable price real Dutch beef …,1
192487,Johannes,positive,TO GO! …,1
563731,Tjing Tjing,positive,Loved the spirit of this place! Went for some cocktails on the top floor....,1
729101,Café Sloterplas,positive,"(Translated by Google) Nice area located in new west, nice to relax  (Original) …",1
779020,Blauwe Theehuis,positive,"Do get your own beer Maja, corona.",1
494560,'t Houtskooltje,positive, (Original) Lekker en cozy.,1
247094,Troost,positive,"Whether it is for a business lunch or casual dinner, you can do both.",1
285184,Ellis gourmet burger,negative,Ideal location by the canal.,0
469497,Rum Barrel,positive,Don't have any criticisms.,1
349416,Castell,positive,(Translated by Google) Best BBQ restaurant! We arrived late and despite there being no place we were allowed to eat behind the bar.,1
102619,La Zoccola del Pacioccone,positive,Small place so prepare for queues at popular hours.,1
650815,Beulings,positive,(Translated by Google) Best...,1
389457,Maximus Steak House,negative,(Translated by Google) Very expensive meat restaurant  (Original) …,0
161020,Eetcafe de Avonden,positive,(Translated by Google) Delicious eaten  (Original) Heerlijk  gegeten,1
149072,Figurantenbar,positive,(Translated by Google) Authentic neighborhood cafe  (Original) Authentiek buurtcafe,1
452338,La Madonnina,negative,"(Translated by Google) To be avoided, chaotic, dirty, arrogant.",0
11784,Caf√© de Zeevaart,positive,Nice bar but there's no music..!!,1
676576,Dignita,positive,Also 9€ for scrambled eggs with bacon is a little steep if you ask me.,1
50189,Luciën’s,positive,Astonishing scenery.,1
119953,Maoz,positive,(Translated by Google) Great for a sandwich or plate with falafel.,1
244492,Kras Haring,positive,…,1
723668,Café Karpershoek,positive, he friendliness of the staff seems genuine.,1
323018,Benji's,positive,You Need to go now !,1
288459,Dragon City,positive,…,1
507318,FAAM,positive,(Translated by Google) Good food  (Original) Prima eten,1
712749,Cafe Balkon,positive,"(Translated by Google) I was 16 years old with my son, we specially came here near the train station (we came to Minsk for the weekend) and wanted to see the view from the balcony.",1
469838,Toscanini,positive,We had been to Toscanini about a year prior and didn't really see why it was so popular.,1
310463,Grand Café Dickys,negative,Came in after words to ask for some help and the staff was so unfriendly and disrespectful  i will never go back there now with my lunch meetings.,0
810861,Lokaal Loosie,positive,"(Translated by Google) Lovely terrace, good lunch card  (Original) …",1
225681,Latei,positive,"Apple pie was fantastic, eggs were also good and friendly service.",1
473434,Cheesy Cakes,positive,I got to taste a main course and a dessert cheesecake.,1
291124,Indonesisch restaurant Betawi,positive,Babi pangang was not served as we expected but was tasty nevertheless.,1
419903,Visaandeschelde,positive,"Good wine too! Do book your table, it's a small and popular place",1
359301,De Biertuin Prinsengracht,negative,Good selection of beer.,0
605275,De Pizzabakkers Plantage,negative,Can sit in or out.,0
550155,The Flying Dachman,positive,Fantastic staff a very famous old bar from the past,1
81774,Bagels & Beans,negative,Very bad service and quality.,0
313972,Caf√© Van Puffelen,positive,"The service was friendly, welcoming and fun.",1
220787,Prik,positive,I had a date with the most handsome cat here ! Very confortable place just a little bit overcrowded when there is an event ! But still like it.,1
430507,Mekhong River,negative,…,0
330121,Eenvistweevis,positive,We will come again.,1
221129,Prik,positive,Nice bartender.,1
29278,Shabu Shabu,positive,"(Translated by Google) The sushi and sashimi really is fresh, very tasty.",1
112741,Martinot,positive,(Translated by Google) Nice place to eat something.,1
218601,Agabi Santa Maria,positive,On the same level as San Giovanni and would defo recommend!,1
175343,Hoogendam,positive,another insider tip in Amsterdam.,1
398803,Schuim,positive, (Original) Gezellig.....,1
230382,The Old Church,positive,It is an intimate setting for concerts.,1
316717,Artist,negative,Papers with the handwritten coupons seem completely …,0
532432,The Coffee Company,positive,"4,5 stars from me! Very cozy cafe, such a friendly staff, nice relaxing music,  PERFECT to get work done on my laptop.",1
671074,Piccolino,positive, (Original) …,1
66880,Bierfabriek,negative,I asked the waiter how long we have to wait there?,0
527142,Sotto Pizzeria,positive,Pizza tuna is the favourite!! …,1
382004,The Butcher,negative,…,0
463166,Kinnaree Thai Cuisine,positive,Really solid pad Thai with tofu.,1
813746,Caffe Il Momento,positive,"(Translated by Google) Very good cafe, ideally located  (Original) …",1
54904,Wok To Go,positive,(Translated by Google) Very good inexpensive and meets COVID19 standards  (Original) …,1
597479,Greenwoods,positive,The second time I went there was on a Saturday.,1
67104,Bierfabriek,positive,No surprise...,1
292643,Loetje Zuidas,positive,Nice staff …,1
812205,Mastino,positive,The ingredients are very fresh and organic and I like the …,1
13483,Aran Irish Pub,positive,…,1
219598,De Gouden Hoek,positive,(Translated by Google) Just good  (Original) Gewoon goed,1
138220,Mesken,negative,Really bad service like forreal,0
60100,Fou Fow Ramen,negative,"Horrible service, food okayish",0
229045,Phutakun,positive,"(Translated by Google) Food was ok to good, ok in terms of price.",1
82807,Het Elfde Gebod,positive,"Great selection of beers, perfect experience as usual.",1
376968,Bar Mick,positive,Fast service and friendly.,1
815714,Amstelhoeck,positive,(Translated by Google) Comfortable / enjoyable / good price  (Original) Cómodo/ ameno/ buen precio,1
806554,Foeders,positive,"The clientele seems to consist in large part of regulars, but new people are also welcome.",1
125720,Pompa Tapas Bar,positive,Lovely atmosphere.,1
55239,Alberto Pozzetto,positive,…,1
230702,Spanjer en van Twist,positive,It's fun watching all the boats passing while eating.,1
234294,Albina,positive,Best food in town...,1
331577,Canvas,positive,One on my favorite places in Amsterdam.,1
210349,Maxies,positive,The waitress took her time explaining the menu and she very polite and continued to check on our need.,1
492068,In de Wildeman,positive,Not too crowded and nice staff.,1
280397,Ron Gastrobar,positive,Old.,1
793258,The Cottage,positive,"During our week long trip to Amsterdam, The cottage was our favorite food find.",1
522660,Café Thijssen,positive,This must be my favorite place to brunch in the Jordaan.,1
473404,Cheesy Cakes,positive,"Super fresh, tasty and creative cakes homemade by the really friendly guy who owns the place.",1
648111,Shabu Shabu,positive,Sushi tastes nice.,1
456873,Tokyo Ramen,positive,Super tasty shoyu ramen that's slightly sweeter than any other I've had before.,1
410734,Stoop & Stoop Eetcaf√©,positive,But the service was demoradooo ...,1
468156,Meat & Greek,positive,Also tasty without meat!  (Original) …,1
368697,Casa di David,positive,"The menu is varied, but nothing fantastic.",1
91611,Koffie Academie,positive,Highly recommend❤️,1
78606,Café Droog,positive,Kinda empty but cool,1
3056,Café Del Mondo,positive,(Translated by Google) Nice place for a drink  (Original) Leuke plek voor een drankje,1
810342,Lokaal Loosie,positive,One of the cosier places on the Nieuwmarkt with an extremely popular terrace when the weather permits it.,1
352851,Restaurant Bord'Eau,positive,A wine list notch above the rest.,1
128680,Bitterzoet,positive,The nice thing is that it is so small.,1
509372,Bulls and dogs,positive,Quality/price is excellent.,1
453004,Dopey's Elixer,positive,Will help suggest beers.,1
328791,Ashoka,positive,"We celebrated our twins 14th birthday here and they made such an effort to make their evening remarkable, with dessert and a giant sparkler! They loved it and I was so impressed with the service.",1
186341,Haven van Texel,positive, (Original) …,1
200958,Cafe Van Zuylen,positive,Prices are perfectly fine.,1
412406,Siberië Coffeeshop,positive,…,1
390872,Café Zwart,positive,Fast and attentive service.,1
211524,Caf√© 't Binnepretje,positive,"Brilliant place, brilliant food and brilliant people.",1
521260,De Zotte,positive,Good to escape touristic spots nearby.,1
4022,Perla di Roma,negative,Was very dissatisfied.,0
85663,Kama Sutra,negative,equals 3* :),0
180784,Hot Or Not,positive,Very busy bar but had a great atmosphere! The barmaid was pint pulling machine fair play to her,1
386595,Forno Communale,positive,"(Translated by Google) A nice taste surprise, where most Italians find themselves with classic recipes, this one of Tortellini stuffed with Ricota and pepper is excellent and deserves a nice note.",1
212937,De Nieuwe Lelie,positive,(Translated by Google) A relaxed atmosphere Lots of beer choice Friendly staff …,1
631154,Bakers and Roasters,positive,"(Translated by Google) Great food, too bad that it is very noisy at crowds due to poor acoustics.",1
293692,Rainbowl,positive,The girls were very nice and helpful reading the menu in English.,1
802400,Greenwoods Keizersgracht,negative," Orders taken all around to people who arrived later than us, but we still couldn't persuade the waitress to take our food order.",0
535498,Elsa's,positive,This cafe is the Best.,1
251782,De Ysbreeker,positive,Brilliant local neighbourhood bar-restaurant that seems to be flying under the radar for tourists.,1
253458,De Ysbreeker,positive,(Translated by Google) Delicious food  (Original) Heerlijk eten,1
367655,Club NYX,positive, (Original) …,1
481242,Café de Hartjes,positive,(Translated by Google) Original Amsterdam pub  (Original) Oer Amsterdamse kroeg,1
484424,Daalder,positive,Cater for dietary restrictions too.,1
253239,De Ysbreeker,positive,"(Translated by Google) A cozy cafe, an excellent bar, an extensive menu.",1
98272,Miu,positive,"Good all you can eat, quality and menu okey.",1
777749,Rosalia‚Äôs Menagerie,positive,"Great interior design, amazing cocktails.",1
763253,Greenwoods,positive,…,1
18665,Burger Fabriek,positive,Excellent burger place.,1
472726,Brasserie Flo,positive,…,1
160629,BuonGiorno Espressobar,positive,Small but nice place to sit,1
739628,The Poolbar,positive,(Translated by Google) Cozy but long wait for a table  (Original) …,1
309454,Blauw aan de Wal,negative,"Much, and way too …",0
538275,Pluk,positive,Perfect location.,1
638515,Mondial Crepes & Waffles,negative,The staff is not friendly and is just there to make turnover.,0
201666,De Kroonprins,negative,Bad food NOT RECOMMENDED  (Original) …,0
386119,Café de Pijp,negative,The waitress said the chef wouldn't cook it well done as it's …,0
538088,Pluk,negative,Very nice place if you want to takes pictures for your Instagram however the service is terrible.,0
314509,Cigaragua,positive,(A rare find here.),1
557976,Coffeeshop Tops,positive,(Translated by Google) Quaint! Nice and competent advice! Good selection of drinks and a nice nice beer garden in the back !! Great Sunday in the tops! …,1
787971,FuLu Mandarijn,negative,There is also a charge for plain water.,0
807033,Foeders,positive,"(Translated by Google) Top place, knowledgeable staff and nice beer  (Original) …",1
762124,Greenwoods,positive,Make sure to respect their sign …,1
410006,Dolce & Gelato Bio,negative,(Translated by Google) Would be nice if someone spoke Dutch  (Original) …,0
729218,Café Sloterplas,positive,There are plenty of benches and restaurants that you come across when making this walk.,1
75523,Pazzi,negative,The worst customer service in the Netherlands.,0
644232,Radion,positive,Many different rooms,1
108928,Brasserie Meuwese,positive,"(Translated by Google) Cozy, everything very tasty and very friendly service.",1
327001,Blauwe Engel,negative,(Translated by Google) After waiting 10 minutes we were finally helped.,0
262751,Cafetaria Hembrug,positive,(Translated by Google) Good fresh fries and the burgers are a must  (Original) …,1
662689,Kantjil & De Tijger,positive,…,1
477411,Brasserie Flo,positive,Had a great evening.,1
249462,The Mill,positive,Go by! …,1
712080,Cafe Balkon,positive,In cocktails - half ice …,1
750964,Bagels and Beans,positive,"(Translated by Google) Tasty bagels, but can get very expensive  (Original) …",1
171402,The Otherside,positive,Do everything you wanted to do before going there because once you have smoked there is no way back...,1
413401,‚ÄãTales & Spirits,positive,Their old fashions ain't to play with.,1
463836,Cedars,positive,High quality food and good service.,1
2647,Singel,positive,We went into this Restaurant by chance after we had lost our way and asked them for directions and they were so helpful that we decided to go back there and eat.,1
290332,Bollywood Indian Restaurant,positive,Very nice service.,1
148014,Hotel Buiten,negative,(Translated by Google) Bad service.,0
682558,The Jolly Joker,positive,My first exspirence.,1
134768,Vegan Sushi Bar,positive,Love the selection of sushi; really enjoyed the 'No chicken teriyaki'.,1
143034,Mozo,negative,Waiting time too long and after we receive Tajine full of water.,0
390788,Café Zwart,positive,(Translated by Google) Nice and cozy place.,1
304517,Fook Sing,positive, (Original) …,1
687330,Pannenkoekenhuis Upstairs,positive,Yum!,1
250833,4850,positive,Will definitely come back to try more.,1
812752,Tony's New York City Bagels,negative,Over priced for a bagel.,0
155710,Regular & Jack,positive,"Nice bar, with good beer and music.",1
404495,Ristorante Isola Bella,negative,Took forever for anyone to speak with us.,0
745739,The Butcher Social Club,positive,But waiter proposed to me and friends a selection of cold dishes that were really tasty.,1
779274,Vascobelo,positive,Sometimes it can be hard to get the attention of the staff,1
557389,Crepes & Wafles,positive,Many thanks to Filipa and Júlio for your friendliness and professionalism.,1
216810,Mossel & Gin,positive,It is very relaxed place.,1
271989,Teds place,negative,The place itself and staff are great.,0
108677,Brasserie Meuwese,positive,(Translated by Google) Great place to enjoy the sun.,1
159111,Greenwood Keizersgracht,positive,Generous portion of delicious food.,1
87758,Onder de Ooievaar,positive,(Translated by Google) Best meatball on this planet  (Original) …,1
626663,Rokerij III,negative,"Food was an odd mix of really great (brussel sprouts), to really bad (tasteless carne asada), to so-so (salty steak).",0
33671,CAU,positive,Highly recommended.,1
552914,Soho,positive,"Great place, definitely going back again soon!",1
105480,Chupitos,positive,The place is rather small and can be crowded.,1
763248,Greenwoods,positive,(Translated by Google) You have to try it very delicious breakfast with great service …,1
49082,Siberi√´ Coffeeshop,positive,(Translated by Google) Immediately came and bought a brownie from them.,1
331644,Canvas,negative,"From the start, the waiter was rude and unprofessional.",0
778738,Blauwe Theehuis,positive,Choco with whipped cream and in lovely Vondelpark.,1
380606,The Butcher,positive,Sit inside and you will smell like a burger but who cares when they are so delicious.,1
301801,De Bicker Eten en Drinken,positive,super friendly staff.,1
382989,Café Flinck,negative,We were able to try the Bitterballen.,0
91128,Los Pilones,negative,I did not meet this in Amsterdam's pubs.,0
628365,Kobalt,positive,"Very cozy place, good music, great service and delicious cider.",1
270503,Café Luxembourg,negative,(Translated by Google) Food was cold and not tasty and to our surprise also had to pay a euro to go to the toilet.,0
385243,Piet de Leeuw,positive,(Translated by Google) Delicious  (Original) Heerlijk,1
742927,Kiebert,positive,There is sufficient room and privacy to work and read without being constanly disturbed by people movement or sound.,1
427889,Sal Gorda,positive,Excellent modern tapas.,1
544170,Saigon Caphe,positive,"Beyond that, good location, very friendly service.",1
656968,Dolphins Coffeeshop,positive,Really nice and cozy place with nice weed,1
193825,Dignita Hoftuin,positive,Best we had while in Amsterdam.,1
371584,Mr Porter,negative,(Translated by Google) Beautiful view.,0
625881,Superskunk,negative,there are others who …,0
348382,Castell,positive,It's much cosier in winter because they have a real fireplace you sit around to eat.,1
641874,De Balie,positive, (Original) …,1
733279,Coffee Room,negative,It’s a 3.5 stars but the coffee didn’t do enough to warrant 4 stars.,0
326244,Bistro Bij Ons,positive,(Translated by Google) Tonight we had a nice dinner at Prinsengracht.,1
351051,The Avocado Show,positive,Could be more avocadoy.,1
528260,Quartier Putain,positive,"Great little cafe bar, large variety of beers and drinks, cakes and delicious toasties.",1
194972,Tujuh Maret,positive,The Sate Kambing was awesome.,1
558312,D√∂nerland Eethuis,positive,Best doner in the western part of the city.,1
513450,Pizzeria Pasta Villa,positive,Fantastic food!,1
92455,Oleg Pelmeni Bar,positive,"Full disclosure - I’m Russian, and my Argentine boyfriend walked away impressed too 😊",1
67167,Bierfabriek,positive,Amazing place.,1
558786,Frietsteeg,positive,In good weather you can eat your fries with a snack along the water.,1
16841,Senses by Lard Bertelsen,positive,(Translated by Google) Impressive.,1
737168,ThaiCoon,negative,(Translated by Google) You still can't pin here.,0
405842,Gollem,positive,Nice and helpful staff.,1
459388,Friet van Oost,positive,…,1
294405,La Casa di Michael,positive,Delicious Food & Nice Atmosphere - friendly people highly recommend.,1
187311,Kismet,positive,Great food.,1
569754,Luci√´n‚Äôs,positive,It’s very large but still classy and not over the top,1
682673,The Jolly Joker,positive,A friendly …,1
52996,Wagamama,positive,The best Boa Buns (Beef) I have ever eaten.,1
508989,Café Oporto,positive, (Original) …,1
142640,Tapas Cafe Duende,negative,…,0
808357,Little Saigon,negative,"After living in Vietnam 12 years, I can confirm that this is pretty far from real Vietnamese food.",0
275390,Pastis,negative,"Our view were of people’s buttocks, not the view we had hoped for.",0
217121,Mossel & Gin,positive,"(Translated by Google) Good food, nice place.",1
673010,cafe helmers,positive,"(Translated by Google) It is not the helmers of the past, but unfortunately that is no longer possible.",1
633717,Frens Haringhandel,positive,…,1
610307,Bar Bouche,positive,The indoor is tiny but very cute and charming.,1
348307,Sapori Del Mondo,negative,bho .....,0
695783,Dante,negative,"Food is average, but service is pretty poor, it's like the lights are on but no one is home.",0
76436,In de Waag,positive,Located just in the center of A'dam in a beautiful building.,1
813827,Caffe Il Momento,positive,(Translated by Google) Excellent  (Original) Excelente,1
642880,Smokin' Barrels,positive, Food was yummy and the bartender was friendly.,1
631387,Caf√© 't Papeneiland,positive,Wonderful service and a beautiful interior.,1
292488,Loetje Zuidas,positive,"(Translated by Google) First experience, definitely not the last.",1
